---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 3
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  0.000000000000000e+00,  1.088257453294395e-14
  2.020202020202020e-02,  1.314525795774050e-14
  4.040404040404041e-02,  5.362810713915627e-15
  6.060606060606061e-02,  5.940957855148407e-15
  8.080808080808081e-02,  1.380010134472463e-14
  1.010101010101010e-01,  6.140760327608094e-15
  1.212121212121212e-01,  6.222513819153372e-15
  1.414141414141414e-01,  6.697806975010577e-15
  1.616161616161616e-01,  1.111286286066412e-14
  1.818181818181818e-01,  7.748650697897399e-15
  2.020202020202020e-01,  7.246396476011266e-15
  2.222222222222222e-01,  1.633483932493162e-14
  2.424242424242424e-01,  1.691630912889621e-14
  2.626262626262627e-01,  1.663383349184244e-14
  2.828282828282828e-01,  1.591374830171050e-14
  3.030303030303030e-01,  8.159332739932502e-15
  3.232323232323233e-01,  1.630998611540910e-14
  3.434343434343434e-01,  8.374773746037049e-15
  3.636363636363636e-01,  9.513068864180046e-15
  3.838383838383838e-01,  1.501490097874110e-14
  4.040404040404040e-01,  1.174371129233600e-14
  4.242424242424243e-01,  1.124173670732444e-14
  4.444444444444444e-01,  2.205484280663984e-14
  4.646464646464646e-01,  2.311946484354792e-14
  4.848484848484849e-01,  2.470846873572502e-14
  5.050505050505051e-01,  2.539013782945525e-14
  5.252525252525253e-01,  2.615465047334825e-14
  5.454545454545454e-01,  2.708174131363859e-14
  5.656565656565656e-01,  2.798051529210475e-14
  5.858585858585859e-01,  2.892015978836089e-14
  6.060606060606061e-01,  2.976229123894286e-14
  6.262626262626263e-01,  2.887625385680578e-14
  6.464646464646465e-01,  3.117037800684269e-14
  6.666666666666666e-01,  3.252499198877874e-14
  6.868686868686869e-01,  3.376685195037639e-14
  7.070707070707071e-01,  3.485446553223503e-14
  7.272727272727273e-01,  3.595185687522629e-14
  7.474747474747475e-01,  3.535933934453705e-14
  7.676767676767676e-01,  3.804555552535980e-14
  7.878787878787878e-01,  3.958892558160464e-14
  8.080808080808081e-01,  4.058070490740559e-14
  8.282828282828283e-01,  4.216801037269851e-14
  8.484848484848485e-01,  4.372462888170811e-14
  8.686868686868687e-01,  4.540690729456016e-14
  8.888888888888888e-01,  4.687748867782232e-14
  9.090909090909091e-01,  4.869910803133008e-14
  9.292929292929293e-01,  5.090584247731800e-14
  9.494949494949495e-01,  5.270246630763704e-14
  9.696969696969697e-01,  5.455608286628285e-14
  9.898989898989899e-01,  1.183555798668385e-13
  1.010101010101010e+00,  5.741976455155362e-14
  1.030303030303030e+00,  5.911631892669625e-14
  1.050505050505051e+00,  5.333627338069425e-14
  1.070707070707071e+00,  4.792596471019796e-14
  1.090909090909091e+00,  4.685158356408947e-14
  1.111111111111111e+00,  6.670324702170979e-14
  1.131313131313131e+00,  6.538694339481749e-14
  1.151515151515152e+00,  5.958379934581174e-14
