---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_1.UpdData = 3
Main.Study.Output_tricps_LH_1.FileName = "triceps_LH_1_data.txt"
Main.Study.Output_tricps_LH_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_1.Values = 
Main.Study.Output_tricps_LH_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm"}
Main.Study.Output_tricps_LH_1.Format = 0
Main.Study.Output_tricps_LH_1.SepSign = ","
Main.Study.Output_tricps_LH_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_1.LineSepSign = ""
Main.Study.Output_tricps_LH_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
  0.000000000000000e+00,  1.017620468227231e-14
  2.020202020202020e-02,  1.228566389940684e-14
  4.040404040404041e-02,  5.009429252999082e-15
  6.060606060606061e-02,  5.546513386405683e-15
  8.080808080808081e-02,  1.287367042201242e-14
  1.010101010101010e-01,  5.723728429130760e-15
  1.212121212121212e-01,  5.794837881490153e-15
  1.414141414141414e-01,  6.232389449988901e-15
  1.616161616161616e-01,  1.033108854029204e-14
  1.818181818181818e-01,  7.196261651369336e-15
  2.020202020202020e-01,  6.729199306861113e-15
  2.222222222222222e-01,  1.516984196077536e-14
  2.424242424242424e-01,  1.571164389916982e-14
  2.626262626262627e-01,  1.545044436298956e-14
  2.828282828282828e-01,  1.477782729832415e-14
  3.030303030303030e-01,  7.574784175367234e-15
  3.232323232323233e-01,  1.513682091111377e-14
  3.434343434343434e-01,  7.769748874691035e-15
  3.636363636363636e-01,  8.822548813427328e-15
  3.838383838383838e-01,  1.391756766687216e-14
  4.040404040404040e-01,  1.088063221317799e-14
  4.242424242424243e-01,  1.041054530773932e-14
  4.444444444444444e-01,  2.041369827779983e-14
  4.646464646464646e-01,  2.138725023941588e-14
  4.848484848484849e-01,  2.284342501114733e-14
  5.050505050505051e-01,  2.345840637785400e-14
  5.252525252525253e-01,  2.414787236039741e-14
  5.454545454545454e-01,  2.498503400471220e-14
  5.656565656565656e-01,  2.579334597221596e-14
  5.858585858585859e-01,  2.663634358758022e-14
  6.060606060606061e-01,  2.738630721821906e-14
  6.262626262626263e-01,  2.654422761484299e-14
  6.464646464646465e-01,  2.862161836241526e-14
  6.666666666666666e-01,  2.983051925707706e-14
  6.868686868686869e-01,  3.093041444532633e-14
  7.070707070707071e-01,  3.188438523748201e-14
  7.272727272727273e-01,  3.283988105366043e-14
  7.474747474747475e-01,  3.224722073017881e-14
  7.676767676767676e-01,  3.463710133586945e-14
  7.878787878787878e-01,  3.597456952692870e-14
  8.080808080808081e-01,  3.680808791790208e-14
