---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_breve.UpdData = 3
Main.Study.Output_biceps_brachii_caput_breve.FileName = "biceps_brachii_caput_breve_data.txt"
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_breve.Values = 
Main.Study.Output_biceps_brachii_caput_breve.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm"}
Main.Study.Output_biceps_brachii_caput_breve.Format = 0
Main.Study.Output_biceps_brachii_caput_breve.SepSign = ","
Main.Study.Output_biceps_brachii_caput_breve.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_breve.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  0.000000000000000e+00,  2.093046539471025e+01
  2.020202020202020e-02,  2.063045545965225e+01
  4.040404040404041e-02,  2.032958112426267e+01
  6.060606060606061e-02,  2.002890749547284e+01
  8.080808080808081e-02,  1.972015344777079e+01
  1.010101010101010e-01,  1.941017835675506e+01
  1.212121212121212e-01,  1.909962308386772e+01
  1.414141414141414e-01,  1.879058116255872e+01
  1.616161616161616e-01,  1.847587930599179e+01
  1.818181818181818e-01,  1.816093638076454e+01
  2.020202020202020e-01,  1.782133028666938e+01
  2.222222222222222e-01,  1.747708863761346e+01
  2.424242424242424e-01,  1.713269267355783e+01
  2.626262626262627e-01,  1.678178437363246e+01
  2.828282828282828e-01,  1.642550573788618e+01
  3.030303030303030e-01,  1.606612403420063e+01
  3.232323232323233e-01,  1.570419377020562e+01
  3.434343434343434e-01,  1.533963690046438e+01
  3.636363636363636e-01,  1.497232153641106e+01
  3.838383838383838e-01,  1.460357158970568e+01
  4.040404040404040e-01,  1.423033263120201e+01
  4.242424242424243e-01,  1.385386285221275e+01
  4.444444444444444e-01,  1.347362927642921e+01
  4.646464646464646e-01,  1.309051570909097e+01
  4.848484848484849e-01,  1.270512350010793e+01
  5.050505050505051e-01,  1.231573440232336e+01
