---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_FE.UpdData = 2
Main.Study.Output_FE.FileName = "FE_data.txt"
Main.Study.Output_FE.NumberFormat.Digits = 15
Main.Study.Output_FE.NumberFormat.Width = 23
Main.Study.Output_FE.NumberFormat.Style = ScientificNumber
Main.Study.Output_FE.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_FE.Values = 
Main.Study.Output_FE.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos"}
Main.Study.Output_FE.Format = 0
Main.Study.Output_FE.SepSign = ","
Main.Study.Output_FE.SepSpaceAutoOnOff = On
Main.Study.Output_FE.LineSepSign = ""
Main.Study.Output_FE.Header.TitleSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.Header.VarSectionOnOff = On
Main.Study.Output_FE.Header.ColumnNamesOnOff = On
Main.Study.Output_FE.Header.LinePrefix = ""
Main.Study.Output_FE.Header.ShortenNamesOnOff = Off
Main.Study.Output_FE.Header.ColumnIDString = "col"
Main.Study.Output_FE.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
  0.000000000000000e+00,  1.236190963413142e+00
  2.020202020202020e-02,  1.236233354089028e+00
  4.040404040404041e-02,  1.236285348268509e+00
  6.060606060606061e-02,  1.236346945173468e+00
  8.080808080808081e-02,  1.236418144126897e+00
  1.010101010101010e-01,  1.236498944346564e+00
  1.212121212121212e-01,  1.236589344945146e+00
  1.414141414141414e-01,  1.236689344930392e+00
  1.616161616161616e-01,  1.236798943205305e+00
  1.818181818181818e-01,  1.236918138568338e+00
  2.020202020202020e-01,  1.237046929713611e+00
  2.222222222222222e-01,  1.237185315231148e+00
  2.424242424242424e-01,  1.237333293607129e+00
  2.626262626262627e-01,  1.237490863224170e+00
  2.828282828282828e-01,  1.237658022361604e+00
  3.030303030303030e-01,  1.237834769195805e+00
  3.232323232323233e-01,  1.238021101800509e+00
  3.434343434343434e-01,  1.238217018147161e+00
  3.636363636363636e-01,  1.238422516105286e+00
  3.838383838383838e-01,  1.238637593442874e+00
  4.040404040404040e-01,  1.238862247826775e+00
  4.242424242424243e-01,  1.239096476823129e+00
  4.444444444444444e-01,  1.239340277897803e+00
  4.646464646464646e-01,  1.239593648416845e+00
  4.848484848484849e-01,  1.239856585646961e+00
  5.050505050505051e-01,  1.240129086756010e+00
  5.252525252525253e-01,  1.240411148813513e+00
  5.454545454545454e-01,  1.240702768791181e+00
  5.656565656565656e-01,  1.241003943563463e+00
  5.858585858585859e-01,  1.241314669908109e+00
  6.060606060606061e-01,  1.241634944506747e+00
  6.262626262626263e-01,  1.241964763945488e+00
  6.464646464646465e-01,  1.242304124715538e+00
  6.666666666666666e-01,  1.242653023213826e+00
  6.868686868686869e-01,  1.243011455743660e+00
  7.070707070707071e-01,  1.243379418515391e+00
  7.272727272727273e-01,  1.243756907647092e+00
  7.474747474747475e-01,  1.244143919165261e+00
  7.676767676767676e-01,  1.244540449005536e+00
  7.878787878787878e-01,  1.244946493013424e+00
  8.080808080808081e-01,  1.245362046945052e+00
  8.282828282828283e-01,  1.245787106467929e+00
  8.484848484848485e-01,  1.246221667161726e+00
  8.686868686868687e-01,  1.246665724519074e+00
  8.888888888888888e-01,  1.247119273946369e+00
  9.090909090909091e-01,  1.247582310764604e+00
  9.292929292929293e-01,  1.248054830210210e+00
  9.494949494949495e-01,  1.248536827435907e+00
  9.696969696969697e-01,  1.249028297511583e+00
  9.898989898989899e-01,  1.249529235425177e+00
  1.010101010101010e+00,  1.250039636083580e+00
  1.030303030303030e+00,  1.250559494313553e+00
  1.050505050505051e+00,  1.251088804862653e+00
  1.070707070707071e+00,  1.251627562400181e+00
  1.090909090909091e+00,  1.252175761518139e+00
  1.111111111111111e+00,  1.252733396732199e+00
  1.131313131313131e+00,  1.253300462482695e+00
  1.151515151515152e+00,  1.253876953135617e+00
  1.171717171717172e+00,  1.254462862983624e+00
  1.191919191919192e+00,  1.255058186247074e+00
  1.212121212121212e+00,  1.255662917075056e+00
  1.232323232323232e+00,  1.256277049546451e+00
  1.252525252525253e+00,  1.256900577670988e+00
  1.272727272727273e+00,  1.257533495390321e+00
  1.292929292929293e+00,  1.258175796579126e+00
  1.313131313131313e+00,  1.258827475046195e+00
  1.333333333333333e+00,  1.259488524535551e+00
  1.353535353535354e+00,  1.260158938727576e+00
  1.373737373737374e+00,  1.260838711240143e+00
  1.393939393939394e+00,  1.261527835629769e+00
  1.414141414141414e+00,  1.262226305392771e+00
  1.434343434343434e+00,  1.262934113966439e+00
  1.454545454545455e+00,  1.263651254730218e+00
  1.474747474747475e+00,  1.264377721006895e+00
  1.494949494949495e+00,  1.265113506063810e+00
  1.515151515151515e+00,  1.265858603114064e+00
  1.535353535353535e+00,  1.266613005317741e+00
  1.555555555555556e+00,  1.267376705783149e+00
  1.575757575757576e+00,  1.268149697568057e+00
  1.595959595959596e+00,  1.268931973680950e+00
  1.616161616161616e+00,  1.269723527082293e+00
  1.636363636363636e+00,  1.270524350685802e+00
  1.656565656565657e+00,  1.271334437359723e+00
  1.676767676767677e+00,  1.272153779928130e+00
  1.696969696969697e+00,  1.272982371172214e+00
  1.717171717171717e+00,  1.273820203831599e+00
  1.737373737373737e+00,  1.274667270605655e+00
  1.757575757575758e+00,  1.275523564154822e+00
  1.777777777777778e+00,  1.276389077101945e+00
  1.797979797979798e+00,  1.277263802033613e+00
  1.818181818181818e+00,  1.278147731501508e+00
  1.838383838383838e+00,  1.279040858023765e+00
  1.858585858585859e+00,  1.279943174086331e+00
  1.878787878787879e+00,  1.280854672144335e+00
  1.898989898989899e+00,  1.281775344623479e+00
  1.919191919191919e+00,  1.282705183921403e+00
  1.939393939393939e+00,  1.283644182409098e+00
  1.959595959595960e+00,  1.284592332432290e+00
  1.979797979797980e+00,  1.285549626312854e+00
  2.000000000000000e+00,  1.286516056350223e+00
