---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_1.UpdData = 3
Main.Study.Output_tricps_LH_1.FileName = "triceps_LH_1_data.txt"
Main.Study.Output_tricps_LH_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_1.Values = 
Main.Study.Output_tricps_LH_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm"}
Main.Study.Output_tricps_LH_1.Format = 0
Main.Study.Output_tricps_LH_1.SepSign = ","
Main.Study.Output_tricps_LH_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_1.LineSepSign = ""
Main.Study.Output_tricps_LH_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
  0.000000000000000e+00,  2.917042618578914e+01
  2.020202020202020e-02,  2.896389886386743e+01
  4.040404040404041e-02,  2.875794846559463e+01
  6.060606060606061e-02,  2.855471101405670e+01
  8.080808080808081e-02,  2.832953651278854e+01
  1.010101010101010e-01,  2.809466705555884e+01
  1.212121212121212e-01,  2.785870465601640e+01
  1.414141414141414e-01,  2.761887231728483e+01
  1.616161616161616e-01,  2.738815553245877e+01
  1.818181818181818e-01,  2.711311532784128e+01
  2.020202020202020e-01,  2.683041876064425e+01
  2.222222222222222e-01,  2.653567590147748e+01
  2.424242424242424e-01,  2.625351502232528e+01
  2.626262626262627e-01,  2.596873994595563e+01
  2.828282828282828e-01,  2.568214317875067e+01
  3.030303030303030e-01,  2.539380914807923e+01
  3.232323232323233e-01,  2.510374488907211e+01
  3.434343434343434e-01,  2.481149024934327e+01
  3.636363636363636e-01,  2.452377206904479e+01
  3.838383838383838e-01,  2.428002649163816e+01
  4.040404040404040e-01,  2.402408188448738e+01
  4.242424242424243e-01,  2.376179707719619e+01
  4.444444444444444e-01,  2.351556295641354e+01
  4.646464646464646e-01,  2.326429039726656e+01
  4.848484848484849e-01,  2.301096791610549e+01
  5.050505050505051e-01,  2.275311383912473e+01
  5.252525252525253e-01,  2.249645273585862e+01
  5.454545454545454e-01,  2.224071879356820e+01
  5.656565656565656e-01,  2.200715396839838e+01
  5.858585858585859e-01,  2.176493941179763e+01
  6.060606060606061e-01,  2.151682752643783e+01
  6.262626262626263e-01,  2.126683191047553e+01
  6.464646464646465e-01,  2.101224903169668e+01
  6.666666666666666e-01,  2.075809336189046e+01
  6.868686868686869e-01,  2.049934081236241e+01
  7.070707070707071e-01,  2.023367819029414e+01
  7.272727272727273e-01,  1.996478305618741e+01
  7.474747474747475e-01,  1.969248534201042e+01
  7.676767676767676e-01,  1.941842891383437e+01
  7.878787878787878e-01,  1.914272265240635e+01
  8.080808080808081e-01,  1.886547103164240e+01
