Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  1.757575757575758e+00,  1.385431700686445e-14
  1.777777777777778e+00,  1.554070430842198e-14
  1.797979797979798e+00,  2.597100852367474e-14
  1.818181818181818e+00,  3.964320689661227e-14
  1.838383838383838e+00,  1.448128392508344e-14
  1.858585858585859e+00,  1.493926162566329e-14
  1.878787878787879e+00,  2.421601916686694e-14
  1.898989898989899e+00,  2.565442202262454e-14
  1.919191919191919e+00,  1.860730503938550e-14
  1.939393939393939e+00,  1.402937312548408e-14
  1.959595959595960e+00,  2.350747350388335e-14
  1.979797979797980e+00,  3.745385951511525e-14
  2.000000000000000e+00,  1.858404685990345e-14
