---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_FE.UpdData = 3
Main.Study.Output_FE.FileName = "FE_data.txt"
Main.Study.Output_FE.NumberFormat.Digits = 15
Main.Study.Output_FE.NumberFormat.Width = 23
Main.Study.Output_FE.NumberFormat.Style = ScientificNumber
Main.Study.Output_FE.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_FE.Values = 
Main.Study.Output_FE.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos"}
Main.Study.Output_FE.Format = 0
Main.Study.Output_FE.SepSign = ","
Main.Study.Output_FE.SepSpaceAutoOnOff = On
Main.Study.Output_FE.LineSepSign = ""
Main.Study.Output_FE.Header.TitleSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.Header.VarSectionOnOff = On
Main.Study.Output_FE.Header.ColumnNamesOnOff = On
Main.Study.Output_FE.Header.LinePrefix = ""
Main.Study.Output_FE.Header.ShortenNamesOnOff = Off
Main.Study.Output_FE.Header.ColumnIDString = "col"
Main.Study.Output_FE.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
  0.000000000000000e+00,  1.638027688978877e+00
  2.020202020202020e-02,  1.634087041461517e+00
  4.040404040404041e-02,  1.630155973456073e+00
  6.060606060606061e-02,  1.626234332680400e+00
  8.080808080808081e-02,  1.622322055805707e+00
  1.010101010101010e-01,  1.618419080390882e+00
  1.212121212121212e-01,  1.614525344868337e+00
  1.414141414141414e-01,  1.610640788530167e+00
  1.616161616161616e-01,  1.606765351514627e+00
  1.818181818181818e-01,  1.602898974792912e+00
  2.020202020202020e-01,  1.599041600156240e+00
  2.222222222222222e-01,  1.595193170203211e+00
  2.424242424242424e-01,  1.591353628327474e+00
  2.626262626262627e-01,  1.587522918705644e+00
  2.828282828282828e-01,  1.583700986285498e+00
  3.030303030303030e-01,  1.579887776774442e+00
  3.232323232323233e-01,  1.576083236628216e+00
  3.434343434343434e-01,  1.572287313039860e+00
  3.636363636363636e-01,  1.568499953928918e+00
  3.838383838383838e-01,  1.564721107930873e+00
  4.040404040404040e-01,  1.560950724386829e+00
  4.242424242424243e-01,  1.557188753333399e+00
  4.444444444444444e-01,  1.553435145492833e+00
  4.646464646464646e-01,  1.549689852263334e+00
  4.848484848484849e-01,  1.545952825709607e+00
  5.050505050505051e-01,  1.542224018553606e+00
  5.252525252525253e-01,  1.538503384165466e+00
  5.454545454545454e-01,  1.534790876554656e+00
  5.656565656565656e-01,  1.531086450361291e+00
  5.858585858585859e-01,  1.527390060847662e+00
  6.060606060606061e-01,  1.523701663889914e+00
  6.262626262626263e-01,  1.520021215969930e+00
  6.464646464646465e-01,  1.516348674167375e+00
  6.666666666666666e-01,  1.512683996151898e+00
  6.868686868686869e-01,  1.509027140175525e+00
  7.070707070707071e-01,  1.505378065065192e+00
  7.272727272727273e-01,  1.501736730215444e+00
  7.474747474747475e-01,  1.498103095581284e+00
  7.676767676767676e-01,  1.494477121671179e+00
  7.878787878787878e-01,  1.490858769540214e+00
  8.080808080808081e-01,  1.487248000783378e+00
  8.282828282828283e-01,  1.483644777529007e+00
  8.484848484848485e-01,  1.480049062432352e+00
  8.686868686868687e-01,  1.476460818669292e+00
  8.888888888888888e-01,  1.472880009930168e+00
  9.090909090909091e-01,  1.469306600413764e+00
  9.292929292929293e-01,  1.465740554821391e+00
  9.494949494949495e-01,  1.462181838351117e+00
  9.696969696969697e-01,  1.458630416692100e+00
  9.898989898989899e-01,  1.455086256019056e+00
  1.010101010101010e+00,  1.451549322986832e+00
  1.030303030303030e+00,  1.448019584725095e+00
  1.050505050505051e+00,  1.444497008833136e+00
  1.070707070707071e+00,  1.440981563374780e+00
  1.090909090909091e+00,  1.437473216873404e+00
  1.111111111111111e+00,  1.433971938307066e+00
  1.131313131313131e+00,  1.430477697103719e+00
  1.151515151515152e+00,  1.426990463136550e+00
  1.171717171717172e+00,  1.423510206719396e+00
  1.191919191919192e+00,  1.420036898602279e+00
  1.212121212121212e+00,  1.416570509967003e+00
  1.232323232323232e+00,  1.413111012422889e+00
  1.252525252525253e+00,  1.409658378002557e+00
  1.272727272727273e+00,  1.406212579157829e+00
  1.292929292929293e+00,  1.402773588755706e+00
  1.313131313131313e+00,  1.399341380074431e+00
  1.333333333333333e+00,  1.395915926799642e+00
  1.353535353535354e+00,  1.392497203020604e+00
  1.373737373737374e+00,  1.389085183226530e+00
  1.393939393939394e+00,  1.385679842302968e+00
  1.414141414141414e+00,  1.382281155528278e+00
  1.434343434343434e+00,  1.378889098570189e+00
  1.454545454545455e+00,  1.375503647482416e+00
  1.474747474747475e+00,  1.372124778701369e+00
  1.494949494949495e+00,  1.368752469042926e+00
  1.515151515151515e+00,  1.365386695699279e+00
  1.535353535353535e+00,  1.362027436235849e+00
  1.555555555555556e+00,  1.358674668588282e+00
  1.575757575757576e+00,  1.355328371059493e+00
  1.595959595959596e+00,  1.351988522316792e+00
  1.616161616161616e+00,  1.348655101389079e+00
  1.636363636363636e+00,  1.345328087664087e+00
  1.656565656565657e+00,  1.342007460885704e+00
  1.676767676767677e+00,  1.338693201151356e+00
  1.696969696969697e+00,  1.335385288909443e+00
  1.717171717171717e+00,  1.332083704956847e+00
  1.737373737373737e+00,  1.328788430436487e+00
  1.757575757575758e+00,  1.325499446834946e+00
  1.777777777777778e+00,  1.322216735980152e+00
  1.797979797979798e+00,  1.318940280039105e+00
  1.818181818181818e+00,  1.315670061515682e+00
  1.838383838383838e+00,  1.312406063248471e+00
  1.858585858585859e+00,  1.309148268408685e+00
  1.878787878787879e+00,  1.305896660498113e+00
  1.898989898989899e+00,  1.302651223347126e+00
  1.919191919191919e+00,  1.299411941112745e+00
  1.939393939393939e+00,  1.296178798276745e+00
  1.959595959595960e+00,  1.292951779643824e+00
  1.979797979797980e+00,  1.289730870339813e+00
  2.000000000000000e+00,  1.286516055809939e+00
