---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_1.UpdData = 2
Main.Study.Output_brachialis_1.FileName = "brachialis_1_data.txt"
Main.Study.Output_brachialis_1.NumberFormat.Digits = 15
Main.Study.Output_brachialis_1.NumberFormat.Width = 23
Main.Study.Output_brachialis_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_1.Values = 
Main.Study.Output_brachialis_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm"}
Main.Study.Output_brachialis_1.Format = 0
Main.Study.Output_brachialis_1.SepSign = ","
Main.Study.Output_brachialis_1.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_1.LineSepSign = ""
Main.Study.Output_brachialis_1.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_1.Header.LinePrefix = ""
Main.Study.Output_brachialis_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_1.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
  0.000000000000000e+00,  1.102095038212348e-13
  2.020202020202020e-02,  5.159607998959890e-14
  4.040404040404041e-02,  5.166486854666707e-14
  6.060606060606061e-02,  7.921043511003624e-14
  8.080808080808081e-02,  4.708619529747971e-14
  1.010101010101010e-01,  4.118868551510214e-13
  1.212121212121212e-01,  7.202208347802915e-14
  1.414141414141414e-01,  4.331035002578266e-14
  1.616161616161616e-01,  7.464687472325706e-14
  1.818181818181818e-01,  1.393944738439723e-13
  2.020202020202020e-01,  5.634695265911109e-14
  2.222222222222222e-01,  3.875014777725488e-14
  2.424242424242424e-01,  6.421035405766807e-14
  2.626262626262627e-01,  4.026816873835383e-14
  2.828282828282828e-01,  5.123134004403042e-14
  3.030303030303030e-01,  4.850404715315998e-14
  3.232323232323233e-01,  4.732643227418056e-14
  3.434343434343434e-01,  4.512985975762557e-14
  3.636363636363636e-01,  3.785116338681777e-14
  3.838383838383838e-01,  2.954595908743258e-14
  4.040404040404040e-01,  2.840771567775322e-14
  4.242424242424243e-01,  2.727521843106535e-14
  4.444444444444444e-01,  3.857874042705521e-14
  4.646464646464646e-01,  2.447220777841729e-14
  4.848484848484849e-01,  4.930596620181417e-14
  5.050505050505051e-01,  3.467637713112246e-14
  5.252525252525253e-01,  3.417315488630709e-14
  5.454545454545454e-01,  3.515982518291015e-14
  5.656565656565656e-01,  1.141409777535029e-13
  5.858585858585859e-01,  3.379764796813418e-14
  6.060606060606061e-01,  3.481977516497308e-13
  6.262626262626263e-01,  3.231748495304933e-14
  6.464646464646465e-01,  9.125357399931109e-14
  6.666666666666666e-01,  2.791671749489069e-14
  6.868686868686869e-01,  2.497566928586847e-14
  7.070707070707071e-01,  5.444151823425123e-14
  7.272727272727273e-01,  8.155933957685738e-14
  7.474747474747475e-01,  3.532799173913270e-14
  7.676767676767676e-01,  3.994352090431162e-14
  7.878787878787878e-01,  3.867144068578041e-14
  8.080808080808081e-01,  3.543933720990823e-14
  8.282828282828283e-01,  2.571094035434147e-14
  8.484848484848485e-01,  1.893799398454674e-14
  8.686868686868687e-01,  1.861213056835010e-14
  8.888888888888888e-01,  4.658459130635484e-14
  9.090909090909091e-01,  1.549060909796352e-14
  9.292929292929293e-01,  1.988270535411147e-14
  9.494949494949495e-01,  1.908687213045402e-14
  9.696969696969697e-01,  1.870842030804634e-14
  9.898989898989899e-01,  6.175417102444666e-14
  1.010101010101010e+00,  1.171156759630881e-14
  1.030303030303030e+00,  1.684483056103389e-14
  1.050505050505051e+00,  6.891067021265338e-14
  1.070707070707071e+00,  4.115322155058450e-14
  1.090909090909091e+00,  4.479622614297388e-14
  1.111111111111111e+00,  1.462902067120334e-14
  1.131313131313131e+00,  4.233635515465325e-14
  1.151515151515152e+00,  9.855372878053104e-15
  1.171717171717172e+00,  1.184865017795589e-14
  1.191919191919192e+00,  1.034599218460572e-14
  1.212121212121212e+00,  1.088269789348008e-14
  1.232323232323232e+00,  2.420745860213958e-14
  1.252525252525253e+00,  1.917934363357957e-14
  1.272727272727273e+00,  1.188460706054757e-13
  1.292929292929293e+00,  1.819911763582198e-14
  1.313131313131313e+00,  1.450807831127336e-14
  1.333333333333333e+00,  1.822038642476303e-13
  1.353535353535354e+00,  1.450897729659148e-13
  1.373737373737374e+00,  7.304435633806785e-15
  1.393939393939394e+00,  1.863384290294014e-14
  1.414141414141414e+00,  6.408015694345704e-15
  1.434343434343434e+00,  5.895342069328051e-15
  1.454545454545455e+00,  4.754701416240389e-15
  1.474747474747475e+00,  4.009577029364179e-15
  1.494949494949495e+00,  3.515100539408325e-15
  1.515151515151515e+00,  3.211664710086000e-15
  1.535353535353535e+00,  3.893361122621231e-15
  1.555555555555556e+00,  5.234946856354275e-15
  1.575757575757576e+00,  6.813243809648752e-14
  1.595959595959596e+00,  2.863861989916793e-15
  1.616161616161616e+00,  2.745890800385980e-15
  1.636363636363636e+00,  4.705649783076347e-15
  1.656565656565657e+00,  6.504563470134514e-14
  1.676767676767677e+00,  5.370254111159719e-14
  1.696969696969697e+00,  2.555052463553880e-15
  1.717171717171717e+00,  2.771786977925979e-14
  1.737373737373737e+00,  2.794253691815222e-14
  1.757575757575758e+00,  1.367698939853344e-13
  1.777777777777778e+00,  2.114008452001148e-14
  1.797979797979798e+00,  2.153805082473576e-14
  1.818181818181818e+00,  2.216157515285086e-14
  1.838383838383838e+00,  1.950500216611964e-14
  1.858585858585859e+00,  2.332507441941719e-14
  1.878787878787879e+00,  1.149152918447934e-13
  1.898989898989899e+00,  3.223591522487001e-14
  1.919191919191919e+00,  2.795498411556067e-15
  1.939393939393939e+00,  3.331392722407593e-15
  1.959595959595960e+00,  3.818596603605363e-15
  1.979797979797980e+00,  3.269853540238381e-15
  2.000000000000000e+00,  1.715871749831651e-13
