---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 2
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  0.000000000000000e+00,  3.098757497135524e+01
  2.020202020202020e-02,  3.133254794857417e+01
  4.040404040404041e-02,  3.168663626405435e+01
  6.060606060606061e-02,  3.205117067665670e+01
  8.080808080808081e-02,  3.240303528381030e+01
  1.010101010101010e-01,  3.274606417680771e+01
  1.212121212121212e-01,  3.309961070617268e+01
  1.414141414141414e-01,  3.346022357108321e+01
  1.616161616161616e-01,  3.382776590870679e+01
  1.818181818181818e-01,  3.420080239088007e+01
  2.020202020202020e-01,  3.458147384701257e+01
  2.222222222222222e-01,  3.496792078327348e+01
  2.424242424242424e-01,  3.531600221402673e+01
  2.626262626262627e-01,  3.565959082814440e+01
  2.828282828282828e-01,  3.601877397292272e+01
  3.030303030303030e-01,  3.638774227141089e+01
  3.232323232323233e-01,  3.673164122746999e+01
  3.434343434343434e-01,  3.711815161984764e+01
  3.636363636363636e-01,  3.751795968941067e+01
  3.838383838383838e-01,  3.795703952600861e+01
  4.040404040404040e-01,  3.839503305220401e+01
  4.242424242424243e-01,  3.883111292907947e+01
  4.444444444444444e-01,  3.928566203287629e+01
  4.646464646464646e-01,  3.971185959964561e+01
  4.848484848484849e-01,  4.002347636887938e+01
  5.050505050505051e-01,  4.032852202140220e+01
  5.252525252525253e-01,  4.061354644444979e+01
  5.454545454545454e-01,  4.090640814322703e+01
  5.656565656565656e-01,  4.121842910351676e+01
  5.858585858585859e-01,  4.154398973305128e+01
  6.060606060606061e-01,  4.191086670165528e+01
  6.262626262626263e-01,  4.226358450098223e+01
  6.464646464646465e-01,  4.262230728100595e+01
  6.666666666666666e-01,  4.298423227699848e+01
  6.868686868686869e-01,  4.335301686437717e+01
  7.070707070707071e-01,  4.371626373495629e+01
  7.272727272727273e-01,  4.406354121922026e+01
  7.474747474747475e-01,  4.443088084671493e+01
  7.676767676767676e-01,  4.481322045887086e+01
  7.878787878787878e-01,  4.519943280489842e+01
  8.080808080808081e-01,  4.556058527280538e+01
  8.282828282828283e-01,  4.593312940343517e+01
  8.484848484848485e-01,  4.631559112167971e+01
  8.686868686868687e-01,  4.671301178755403e+01
  8.888888888888888e-01,  4.712048475289939e+01
  9.090909090909091e-01,  4.754679633075982e+01
  9.292929292929293e-01,  4.800226585436081e+01
  9.494949494949495e-01,  4.844498364619759e+01
  9.696969696969697e-01,  4.883957902235822e+01
  9.898989898989899e-01,  4.921740885667187e+01
  1.010101010101010e+00,  4.959956746310635e+01
  1.030303030303030e+00,  4.999520801705212e+01
  1.050505050505051e+00,  5.040981050842408e+01
  1.070707070707071e+00,  5.083608737549820e+01
  1.090909090909091e+00,  5.127332904419889e+01
  1.111111111111111e+00,  5.173148158037992e+01
  1.131313131313131e+00,  5.232697326572184e+01
  1.151515151515152e+00,  5.296880727376426e+01
