---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_1.UpdData = 2
Main.Study.Output_tricps_LH_1.FileName = "triceps_LH_1_data.txt"
Main.Study.Output_tricps_LH_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_1.Values = 
Main.Study.Output_tricps_LH_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm"}
Main.Study.Output_tricps_LH_1.Format = 0
Main.Study.Output_tricps_LH_1.SepSign = ","
Main.Study.Output_tricps_LH_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_1.LineSepSign = ""
Main.Study.Output_tricps_LH_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
  0.000000000000000e+00,  1.342022770637088e+01
  2.020202020202020e-02,  1.347401468500626e+01
  4.040404040404041e-02,  1.353515973814525e+01
  6.060606060606061e-02,  1.360419448860038e+01
  8.080808080808081e-02,  1.367133252003324e+01
  1.010101010101010e-01,  1.374020149099385e+01
  1.212121212121212e-01,  1.381904602871047e+01
  1.414141414141414e-01,  1.390511471099584e+01
  1.616161616161616e-01,  1.399853981049422e+01
  1.818181818181818e-01,  1.409875394489139e+01
  2.020202020202020e-01,  1.420673804439777e+01
  2.222222222222222e-01,  1.432165886182503e+01
  2.424242424242424e-01,  1.447606186199437e+01
  2.626262626262627e-01,  1.465487827466607e+01
  2.828282828282828e-01,  1.483855365166940e+01
  3.030303030303030e-01,  1.501648163838749e+01
  3.232323232323233e-01,  1.518281174934076e+01
  3.434343434343434e-01,  1.537400352012822e+01
  3.636363636363636e-01,  1.557061100510442e+01
  3.838383838383838e-01,  1.579288607423500e+01
  4.040404040404040e-01,  1.601171933988985e+01
  4.242424242424243e-01,  1.622835044866340e+01
  4.444444444444444e-01,  1.645336864963566e+01
  4.646464646464646e-01,  1.666272486304383e+01
  4.848484848484849e-01,  1.681164781843842e+01
  5.050505050505051e-01,  1.695637098227345e+01
  5.252525252525253e-01,  1.708914917134482e+01
  5.454545454545454e-01,  1.722552265983825e+01
  5.656565656565656e-01,  1.737195868175085e+01
  5.858585858585859e-01,  1.752698901103899e+01
  6.060606060606061e-01,  1.770182542207951e+01
  6.262626262626263e-01,  1.787228901811711e+01
  6.464646464646465e-01,  1.804514770739626e+01
  6.666666666666666e-01,  1.822014184511270e+01
  6.868686868686869e-01,  1.839947170720021e+01
  7.070707070707071e-01,  1.859937185183816e+01
  7.272727272727273e-01,  1.881568802141829e+01
  7.474747474747475e-01,  1.903490754359740e+01
  7.676767676767676e-01,  1.925554229186868e+01
  7.878787878787878e-01,  1.947711285547725e+01
  8.080808080808081e-01,  1.968381663633097e+01
