---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_biceps_brachii_caput_breve.UpdData = 2
Main.Study.Output_biceps_brachii_caput_breve.FileName = "biceps_brachii_caput_breve_data.txt"
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Digits = 15
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Width = 23
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.Style = ScientificNumber
Main.Study.Output_biceps_brachii_caput_breve.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_biceps_brachii_caput_breve.Values = 
Main.Study.Output_biceps_brachii_caput_breve.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm"}
Main.Study.Output_biceps_brachii_caput_breve.Format = 0
Main.Study.Output_biceps_brachii_caput_breve.SepSign = ","
Main.Study.Output_biceps_brachii_caput_breve.SepSpaceAutoOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.LineSepSign = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.TitleSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.VarSectionOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnNamesOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.Header.LinePrefix = ""
Main.Study.Output_biceps_brachii_caput_breve.Header.ShortenNamesOnOff = Off
Main.Study.Output_biceps_brachii_caput_breve.Header.ColumnIDString = "col"
Main.Study.Output_biceps_brachii_caput_breve.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_biceps_brachii_caput_breve.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  0.000000000000000e+00,  4.011461041239433e-14
  2.020202020202020e-02,  1.950106674400694e-14
  4.040404040404041e-02,  2.028212190028049e-14
  6.060606060606061e-02,  3.230659926674150e-14
  8.080808080808081e-02,  1.994773506722449e-14
  1.010101010101010e-01,  1.812682402226563e-13
  1.212121212121212e-01,  3.294194898786096e-14
  1.414141414141414e-01,  2.059014493034044e-14
  1.616161616161616e-01,  3.688824678046779e-14
  1.818181818181818e-01,  7.159762062735735e-14
  2.020202020202020e-01,  3.007736579807126e-14
  2.222222222222222e-01,  2.148565030327552e-14
  2.424242424242424e-01,  3.668790878783817e-14
  2.626262626262627e-01,  2.366889968669407e-14
  2.828282828282828e-01,  3.100621419823908e-14
  3.030303030303030e-01,  3.013475587321710e-14
  3.232323232323233e-01,  3.023620769429910e-14
  3.434343434343434e-01,  2.976570617098215e-14
  3.636363636363636e-01,  2.577462730011492e-14
  3.838383838383838e-01,  2.089236252734587e-14
  4.040404040404040e-01,  2.086511977958151e-14
  4.242424242424243e-01,  2.080460115044355e-14
  4.444444444444444e-01,  3.056825776559530e-14
  4.646464646464646e-01,  2.015572169456957e-14
  4.848484848484849e-01,  4.243345385511865e-14
  5.050505050505051e-01,  3.125135398838038e-14
