---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 3
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  0.000000000000000e+00,  1.108379081179486e+01
  2.020202020202020e-02,  1.179347379059340e+01
  4.040404040404041e-02,  1.251124285279583e+01
  6.060606060606061e-02,  1.323432638398581e+01
  8.080808080808081e-02,  1.396086549514656e+01
  1.010101010101010e-01,  1.468863142064021e+01
  1.212121212121212e-01,  1.541845684478590e+01
  1.414141414141414e-01,  1.614898045112439e+01
  1.616161616161616e-01,  1.687964971508252e+01
  1.818181818181818e-01,  1.761028531729866e+01
  2.020202020202020e-01,  1.834051367827501e+01
  2.222222222222222e-01,  1.907012871746099e+01
  2.424242424242424e-01,  1.979869421336785e+01
  2.626262626262627e-01,  2.052638063282445e+01
  2.828282828282828e-01,  2.125140254054125e+01
  3.030303030303030e-01,  2.197354270481310e+01
  3.232323232323233e-01,  2.269491317408700e+01
  3.434343434343434e-01,  2.344206366601881e+01
  3.636363636363636e-01,  2.418203516180616e+01
  3.838383838383838e-01,  2.475592312420661e+01
  4.040404040404040e-01,  2.528869710635135e+01
  4.242424242424243e-01,  2.582685240503326e+01
  4.444444444444444e-01,  2.636667517801347e+01
  4.646464646464646e-01,  2.692484615904849e+01
  4.848484848484849e-01,  2.749130409668432e+01
  5.050505050505051e-01,  2.805946182652554e+01
  5.252525252525253e-01,  2.862289816371955e+01
  5.454545454545454e-01,  2.918914785077612e+01
  5.656565656565656e-01,  2.975898050418143e+01
  5.858585858585859e-01,  3.033160213479803e+01
  6.060606060606061e-01,  3.090923348808806e+01
  6.262626262626263e-01,  3.150341102181639e+01
  6.464646464646465e-01,  3.212747427099752e+01
  6.666666666666666e-01,  3.275820536502317e+01
  6.868686868686869e-01,  3.338371330182793e+01
  7.070707070707071e-01,  3.398254800161344e+01
  7.272727272727273e-01,  3.458159961215448e+01
  7.474747474747475e-01,  3.518062593797241e+01
  7.676767676767676e-01,  3.577933190537026e+01
  7.878787878787878e-01,  3.637758884474502e+01
  8.080808080808081e-01,  3.697024572295425e+01
  8.282828282828283e-01,  3.756882391775981e+01
  8.484848484848485e-01,  3.816647572267438e+01
  8.686868686868687e-01,  3.876470714219957e+01
  8.888888888888888e-01,  3.936245819526065e+01
  9.090909090909091e-01,  3.995983931297344e+01
  9.292929292929293e-01,  4.055830027245320e+01
  9.494949494949495e-01,  4.115651292064716e+01
  9.696969696969697e-01,  4.175447006561514e+01
  9.898989898989899e-01,  4.235216559277954e+01
  1.010101010101010e+00,  4.292431836811553e+01
  1.030303030303030e+00,  4.349159668089845e+01
  1.050505050505051e+00,  4.406259233171787e+01
  1.070707070707071e+00,  4.464081165801434e+01
  1.090909090909091e+00,  4.522483419643840e+01
  1.111111111111111e+00,  4.579550531235028e+01
  1.131313131313131e+00,  4.634127953244961e+01
  1.151515151515152e+00,  4.688944647711531e+01
