---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_1.UpdData = 2
Main.Study.Output_brachialis_1.FileName = "brachialis_1_data.txt"
Main.Study.Output_brachialis_1.NumberFormat.Digits = 15
Main.Study.Output_brachialis_1.NumberFormat.Width = 23
Main.Study.Output_brachialis_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_1.Values = 
Main.Study.Output_brachialis_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm"}
Main.Study.Output_brachialis_1.Format = 0
Main.Study.Output_brachialis_1.SepSign = ","
Main.Study.Output_brachialis_1.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_1.LineSepSign = ""
Main.Study.Output_brachialis_1.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_1.Header.LinePrefix = ""
Main.Study.Output_brachialis_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_1.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
  0.000000000000000e+00,  1.737022204754513e-01
  2.020202020202020e-02,  1.110625277951013e+00
  4.040404040404041e-02,  2.047309807316755e+00
  6.060606060606061e-02,  2.601931251121124e+00
  8.080808080808081e-02,  3.195888180384938e+00
  1.010101010101010e-01,  3.825915461743887e+00
  1.212121212121212e-01,  4.471125074576897e+00
  1.414141414141414e-01,  5.151202225864415e+00
  1.616161616161616e-01,  5.855822509923170e+00
  1.818181818181818e-01,  6.562364792380704e+00
  2.020202020202020e-01,  7.260362238665335e+00
  2.222222222222222e-01,  7.952973912681015e+00
  2.424242424242424e-01,  8.641925055402822e+00
  2.626262626262627e-01,  9.327820196575992e+00
  2.828282828282828e-01,  1.001112579029091e+01
  3.030303030303030e-01,  1.069220634479357e+01
  3.232323232323233e-01,  1.137138767897987e+01
  3.434343434343434e-01,  1.204658211815594e+01
  3.636363636363636e-01,  1.272093694497673e+01
  3.838383838383838e-01,  1.339456854755117e+01
  4.040404040404040e-01,  1.406748124128919e+01
  4.242424242424243e-01,  1.474216430262489e+01
  4.444444444444444e-01,  1.542048353173619e+01
  4.646464646464646e-01,  1.609730248146336e+01
  4.848484848484849e-01,  1.677292218329894e+01
  5.050505050505051e-01,  1.744770107127105e+01
  5.252525252525253e-01,  1.812189645405761e+01
  5.454545454545454e-01,  1.879567814193142e+01
  5.656565656565656e-01,  1.946917614538919e+01
  5.858585858585859e-01,  2.014399496230153e+01
  6.060606060606061e-01,  2.081810612751336e+01
  6.262626262626263e-01,  2.149197893605732e+01
  6.464646464646465e-01,  2.216578627556659e+01
  6.666666666666666e-01,  2.283963102810910e+01
  6.868686868686869e-01,  2.351358779104780e+01
  7.070707070707071e-01,  2.418771941372439e+01
  7.272727272727273e-01,  2.486207839180708e+01
  7.474747474747475e-01,  2.553670991733014e+01
  7.676767676767676e-01,  2.621212655400744e+01
  7.878787878787878e-01,  2.659925128922890e+01
  8.080808080808081e-01,  2.702653403687984e+01
  8.282828282828283e-01,  2.748418673280779e+01
  8.484848484848485e-01,  2.795448246146011e+01
  8.686868686868687e-01,  2.844779249025788e+01
  8.888888888888888e-01,  2.895566945466471e+01
  9.090909090909091e-01,  2.947496670905142e+01
  9.292929292929293e-01,  3.000366353071475e+01
  9.494949494949495e-01,  3.054031808602425e+01
  9.696969696969697e-01,  3.108384512369799e+01
  9.898989898989899e-01,  3.163339864482173e+01
  1.010101010101010e+00,  3.218830159817832e+01
  1.030303030303030e+00,  3.274800102143372e+01
  1.050505050505051e+00,  3.331203742000218e+01
  1.070707070707071e+00,  3.388002318647287e+01
  1.090909090909091e+00,  3.445162713807737e+01
  1.111111111111111e+00,  3.502681023008075e+01
  1.131313131313131e+00,  3.560476939848355e+01
  1.151515151515152e+00,  3.618560506758814e+01
  1.171717171717172e+00,  3.676911855920515e+01
  1.191919191919192e+00,  3.735513138692069e+01
  1.212121212121212e+00,  3.794348170321453e+01
  1.232323232323232e+00,  3.853402140657241e+01
  1.252525252525253e+00,  3.912661376520622e+01
  1.272727272727273e+00,  3.972137796257805e+01
  1.292929292929293e+00,  4.031800544711736e+01
  1.313131313131313e+00,  4.091595151156595e+01
  1.333333333333333e+00,  4.151545519736067e+01
  1.353535353535354e+00,  4.211588793223211e+01
  1.373737373737374e+00,  4.271779154001725e+01
  1.393939393939394e+00,  4.332105126742702e+01
  1.414141414141414e+00,  4.392568480459193e+01
  1.434343434343434e+00,  4.453140406004541e+01
  1.454545454545455e+00,  4.514170661911974e+01
  1.474747474747475e+00,  4.575532756157484e+01
  1.494949494949495e+00,  4.637130595390242e+01
  1.515151515151515e+00,  4.698734764175853e+01
  1.535353535353535e+00,  4.760349734788667e+01
  1.555555555555556e+00,  4.821996487148955e+01
  1.575757575757576e+00,  4.883671643560037e+01
  1.595959595959596e+00,  4.945574282200342e+01
  1.616161616161616e+00,  5.007335324404578e+01
  1.636363636363636e+00,  5.069043151847197e+01
  1.656565656565657e+00,  5.130809490671363e+01
  1.676767676767677e+00,  5.192953473110204e+01
  1.696969696969697e+00,  5.254939077125795e+01
  1.717171717171717e+00,  5.316771497423058e+01
  1.737373737373737e+00,  5.378421791311514e+01
  1.757575757575758e+00,  5.439853991668470e+01
  1.777777777777778e+00,  5.501046566446372e+01
  1.797979797979798e+00,  5.561828882508278e+01
  1.818181818181818e+00,  5.622202784422529e+01
  1.838383838383838e+00,  5.682136346075978e+01
  1.858585858585859e+00,  5.741493638408447e+01
  1.878787878787879e+00,  5.800878859442679e+01
  1.898989898989899e+00,  5.863826172850295e+01
  1.919191919191919e+00,  5.926942498415658e+01
  1.939393939393939e+00,  5.990605033634081e+01
  1.959595959595960e+00,  6.054334361648745e+01
  1.979797979797980e+00,  6.118059782041824e+01
  2.000000000000000e+00,  6.181776335037330e+01
