Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  1.757575757575758e+00,  2.128031048527074e+01
  1.777777777777778e+00,  2.158437371399226e+01
  1.797979797979798e+00,  2.188728399441618e+01
  1.818181818181818e+00,  2.218885697937485e+01
  1.838383838383838e+00,  2.248906583320901e+01
  1.858585858585859e+00,  2.278769461420596e+01
  1.878787878787879e+00,  2.308524406907067e+01
  1.898989898989899e+00,  2.338532658061306e+01
  1.919191919191919e+00,  2.368441040149705e+01
  1.939393939393939e+00,  2.398290070906232e+01
  1.959595959595960e+00,  2.428048855101951e+01
  1.979797979797980e+00,  2.457720570499372e+01
  2.000000000000000e+00,  2.487305774406388e+01
