---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_2.UpdData = 2
Main.Study.Output_brachialis_2.FileName = "brachialis_2_data.txt"
Main.Study.Output_brachialis_2.NumberFormat.Digits = 15
Main.Study.Output_brachialis_2.NumberFormat.Width = 23
Main.Study.Output_brachialis_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_2.Values = 
Main.Study.Output_brachialis_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm"}
Main.Study.Output_brachialis_2.Format = 0
Main.Study.Output_brachialis_2.SepSign = ","
Main.Study.Output_brachialis_2.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_2.LineSepSign = ""
Main.Study.Output_brachialis_2.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_2.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_2.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_2.Header.LinePrefix = ""
Main.Study.Output_brachialis_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_2.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_2.Fm
  0.000000000000000e+00,  2.763581418681970e-14
  2.020202020202020e-02,  2.381923555226145e-14
  4.040404040404041e-02,  1.666414325578372e-15
  6.060606060606061e-02,  1.278880669484732e-15
  8.080808080808081e-02,  3.341669082880780e-15
  1.010101010101010e-01,  4.201257040579689e-15
  1.212121212121212e-01,  3.687015798411094e-15
  1.414141414141414e-01,  3.724063391757080e-15
  1.616161616161616e-01,  3.409531353059320e-15
  1.818181818181818e-01,  6.530469950465122e-15
  2.020202020202020e-01,  7.686165958405418e-14
  2.222222222222222e-01,  1.165964739993142e-14
  2.424242424242424e-01,  1.280017181109238e-14
  2.626262626262627e-01,  1.510036279249395e-14
  2.828282828282828e-01,  3.140470349650248e-15
  3.030303030303030e-01,  5.332658486989653e-15
  3.232323232323233e-01,  3.752540779105935e-15
  3.434343434343434e-01,  3.589426520029759e-15
  3.636363636363636e-01,  3.122361246269658e-15
  3.838383838383838e-01,  3.190645679702883e-15
  4.040404040404040e-01,  4.009447406302487e-15
  4.242424242424243e-01,  6.855455646894359e-14
  4.444444444444444e-01,  5.214504978043344e-15
  4.646464646464646e-01,  5.080797544360855e-15
  4.848484848484849e-01,  5.206471835174117e-15
  5.050505050505051e-01,  7.763675106545051e-14
  5.252525252525253e-01,  4.604766283307108e-15
  5.454545454545454e-01,  5.001962735003038e-15
  5.656565656565656e-01,  7.103972903454373e-15
  5.858585858585859e-01,  7.181737958854590e-15
  6.060606060606061e-01,  7.511105360085516e-15
  6.262626262626263e-01,  7.653535585247096e-15
  6.464646464646465e-01,  5.641337846528969e-15
  6.666666666666666e-01,  9.279993094478555e-15
  6.868686868686869e-01,  1.088734958715183e-14
  7.070707070707071e-01,  3.373461261853786e-14
  7.272727272727273e-01,  1.190703867036258e-14
  7.474747474747475e-01,  1.215709609376811e-14
  7.676767676767676e-01,  1.187259075769996e-14
  7.878787878787878e-01,  7.523865789393157e-14
  8.080808080808081e-01,  7.542592448187503e-14
  8.282828282828283e-01,  2.351091343092561e-14
  8.484848484848485e-01,  3.017699264131376e-14
  8.686868686868687e-01,  2.939266122197232e-14
  8.888888888888888e-01,  1.244540232296821e-14
  9.090909090909091e-01,  3.546399113961689e-14
  9.292929292929293e-01,  1.444877490961696e-14
  9.494949494949495e-01,  1.677977641020657e-14
  9.696969696969697e-01,  1.871706378447536e-14
  9.898989898989899e-01,  1.805437059536384e-14
  1.010101010101010e+00,  1.852884210063061e-14
  1.030303030303030e+00,  2.664381380743800e-14
  1.050505050505051e+00,  3.715023776189744e-14
  1.070707070707071e+00,  3.909715149031323e-14
  1.090909090909091e+00,  3.296302935119775e-14
  1.111111111111111e+00,  2.336357645398703e-14
  1.131313131313131e+00,  2.156071810936328e-14
  1.151515151515152e+00,  8.318388633642238e-14
  1.171717171717172e+00,  1.074324907185593e-13
  1.191919191919192e+00,  1.138173422287074e-13
  1.212121212121212e+00,  2.751410901290858e-14
  1.232323232323232e+00,  2.327973430709545e-14
  1.252525252525253e+00,  2.001728272881512e-14
  1.272727272727273e+00,  6.291570720252486e-14
  1.292929292929293e+00,  7.291352048003082e-14
  1.313131313131313e+00,  3.407212616606729e-14
  1.333333333333333e+00,  3.137763576499233e-14
  1.353535353535354e+00,  3.930242221310128e-14
  1.373737373737374e+00,  3.203720617343910e-14
  1.393939393939394e+00,  2.633827208979003e-14
  1.414141414141414e+00,  2.678362747444110e-14
  1.434343434343434e+00,  3.402946277496530e-14
  1.454545454545455e+00,  3.179179382533529e-14
  1.474747474747475e+00,  3.364733850670147e-14
  1.494949494949495e+00,  7.576567626797207e-14
  1.515151515151515e+00,  4.777959886346962e-14
  1.535353535353535e+00,  1.845521468963889e-13
  1.555555555555556e+00,  4.755819816161462e-14
  1.575757575757576e+00,  5.032455205112623e-14
  1.595959595959596e+00,  5.222909122920041e-14
  1.616161616161616e+00,  5.284988859930509e-14
  1.636363636363636e+00,  5.173972822421597e-14
  1.656565656565657e+00,  5.573538975101133e-14
  1.676767676767677e+00,  1.307530941767043e-13
  1.696969696969697e+00,  9.281703621481917e-14
  1.717171717171717e+00,  9.987610618295793e-14
  1.737373737373737e+00,  4.867948039345180e-14
  1.757575757575758e+00,  4.461589920910651e-14
  1.777777777777778e+00,  5.750347173179381e-14
  1.797979797979798e+00,  6.855297203207336e-14
  1.818181818181818e+00,  6.971111621701699e-14
  1.838383838383838e+00,  7.094115649388724e-14
  1.858585858585859e+00,  7.351547501187172e-14
  1.878787878787879e+00,  7.325855341886604e-14
  1.898989898989899e+00,  6.549985549269319e-14
  1.919191919191919e+00,  7.681304378397645e-14
  1.939393939393939e+00,  1.205971161892300e-13
  1.959595959595960e+00,  8.082512403696311e-14
  1.979797979797980e+00,  8.382492288738344e-14
  2.000000000000000e+00,  2.688176200584342e-13
