---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_1.UpdData = 2
Main.Study.Output_brachialis_1.FileName = "brachialis_1_data.txt"
Main.Study.Output_brachialis_1.NumberFormat.Digits = 15
Main.Study.Output_brachialis_1.NumberFormat.Width = 23
Main.Study.Output_brachialis_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_1.Values = 
Main.Study.Output_brachialis_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm"}
Main.Study.Output_brachialis_1.Format = 0
Main.Study.Output_brachialis_1.SepSign = ","
Main.Study.Output_brachialis_1.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_1.LineSepSign = ""
Main.Study.Output_brachialis_1.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_1.Header.LinePrefix = ""
Main.Study.Output_brachialis_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_1.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
  0.000000000000000e+00,  8.610267339842413e-14
  2.020202020202020e-02,  3.663094018756004e-13
  4.040404040404041e-02,  6.848847301194135e-13
  6.060606060606061e-02,  8.966455214397179e-14
  8.080808080808081e-02,  1.259786116120563e-13
  1.010101010101010e-01,  1.893232111593985e-13
  1.212121212121212e-01,  7.935130029105193e-14
  1.414141414141414e-01,  8.841188311433747e-14
  1.616161616161616e-01,  9.477588485167343e-14
  1.818181818181818e-01,  9.985941861740804e-14
  2.020202020202020e-01,  3.061114683289619e-13
  2.222222222222222e-01,  9.973591596644610e-14
  2.424242424242424e-01,  1.018128037909978e-13
  2.626262626262627e-01,  1.039780831734496e-13
  2.828282828282828e-01,  1.047011416992313e-13
  3.030303030303030e-01,  1.056523358448147e-13
  3.232323232323233e-01,  1.078236698047041e-13
  3.434343434343434e-01,  1.074622493759135e-13
  3.636363636363636e-01,  1.167545178327256e-13
  3.838383838383838e-01,  1.198502529124884e-13
  4.040404040404040e-01,  1.225214719998663e-13
  4.242424242424243e-01,  3.639755919735184e-13
  4.444444444444444e-01,  1.228833053833639e-13
  4.646464646464646e-01,  3.725110005402815e-13
  4.848484848484849e-01,  1.213556719404081e-13
  5.050505050505051e-01,  1.098550637641785e-13
  5.252525252525253e-01,  1.049927063135827e-13
  5.454545454545454e-01,  1.298607929147412e-13
  5.656565656565656e-01,  1.278715033267288e-13
  5.858585858585859e-01,  1.114426319697490e-13
  6.060606060606061e-01,  9.285877512449990e-14
  6.262626262626263e-01,  1.267242117812873e-13
  6.464646464646465e-01,  1.212771220542409e-13
  6.666666666666666e-01,  1.151577105499739e-12
  6.868686868686869e-01,  2.641958648447803e-13
  7.070707070707071e-01,  3.035562196590546e-13
  7.272727272727273e-01,  2.904018309814577e-13
  7.474747474747475e-01,  2.627922327256621e-13
  7.676767676767676e-01,  9.136437387995317e-13
  7.878787878787878e-01,  7.091953410597289e-13
  8.080808080808081e-01,  6.029255957610083e-13
  8.282828282828283e-01,  6.029103130345670e-13
  8.484848484848485e-01,  5.936809738415978e-13
  8.686868686868687e-01,  1.109745588286912e-13
  8.888888888888888e-01,  2.336044017042252e-13
  9.090909090909091e-01,  1.072091708870481e-13
  9.292929292929293e-01,  9.508438593751659e-14
  9.494949494949495e-01,  1.274251369837938e-13
  9.696969696969697e-01,  1.798685305666210e-13
  9.898989898989899e-01,  6.266550166242675e-13
  1.010101010101010e+00,  1.482689717863888e-13
  1.030303030303030e+00,  4.350212525922731e-13
  1.050505050505051e+00,  1.410263329585284e-13
  1.070707070707071e+00,  8.516484334114634e-14
  1.090909090909091e+00,  9.717636483623022e-14
  1.111111111111111e+00,  9.511487486810656e-14
  1.131313131313131e+00,  9.680438264892503e-14
  1.151515151515152e+00,  9.380327961289523e-14
  1.171717171717172e+00,  1.460131947322837e-12
  1.191919191919192e+00,  1.216791573280588e-12
  1.212121212121212e+00,  1.100157002700256e-13
  1.232323232323232e+00,  2.526914430731534e-13
  1.252525252525253e+00,  9.121249892032103e-13
  1.272727272727273e+00,  1.810684900129931e-13
  1.292929292929293e+00,  1.903895486279900e-13
  1.313131313131313e+00,  2.009741292917843e-13
  1.333333333333333e+00,  8.575394183179640e-13
  1.353535353535354e+00,  9.794889712249251e-13
  1.373737373737374e+00,  1.330192202318307e-13
  1.393939393939394e+00,  1.045633229871093e-12
  1.414141414141414e+00,  9.191214326155111e-13
  1.434343434343434e+00,  8.013392698948420e-13
  1.454545454545455e+00,  7.786100736915061e-13
  1.474747474747475e+00,  1.776935260456712e-13
  1.494949494949495e+00,  1.901580134683659e-13
  1.515151515151515e+00,  8.088647974017339e-13
  1.535353535353535e+00,  1.620221639036722e-13
  1.555555555555556e+00,  2.531471775979902e-13
  1.575757575757576e+00,  2.259695783641716e-13
  1.595959595959596e+00,  7.407000081663107e-14
  1.616161616161616e+00,  7.639794148384771e-13
  1.636363636363636e+00,  1.834241620406235e-13
  1.656565656565657e+00,  8.525467371886506e-13
  1.676767676767677e+00,  2.017800820147486e-13
  1.696969696969697e+00,  9.080861627291109e-13
  1.717171717171717e+00,  7.999692449020066e-14
  1.737373737373737e+00,  1.817430257787490e-13
  1.757575757575758e+00,  1.806385920655798e-13
  1.777777777777778e+00,  1.870856857136043e-13
  1.797979797979798e+00,  2.319465191835978e-13
  1.818181818181818e+00,  2.421606527176300e-13
  1.838383838383838e+00,  1.029934423448244e-12
  1.858585858585859e+00,  2.469246239478214e-13
  1.878787878787879e+00,  1.186137671546641e-12
  1.898989898989899e+00,  1.105096915318468e-13
  1.919191919191919e+00,  2.616954876379826e-13
  1.939393939393939e+00,  1.018458269334732e-12
  1.959595959595960e+00,  2.008276799477957e-13
  1.979797979797980e+00,  5.105279428024536e-14
  2.000000000000000e+00,  2.428425787928235e-13
