Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  1.757575757575758e+00,  7.919049040617167e-01
  1.777777777777778e+00,  6.345807350377727e-01
  1.797979797979798e+00,  4.809078301403744e-01
  1.818181818181818e+00,  3.305194841736426e-01
  1.838383838383838e+00,  1.838684414943764e-01
  1.858585858585859e+00,  4.143279494759150e-02
  1.878787878787879e+00,  4.992825995882939e-11
  1.898989898989899e+00,  2.079420422145665e-12
  1.919191919191919e+00,  3.289638926384808e-12
  1.939393939393939e+00,  9.781685557287099e-12
  1.959595959595960e+00,  1.590193941077618e-12
  1.979797979797980e+00,  3.488129728217064e-13
  2.000000000000000e+00,  1.470712776175048e-12
