---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_brachialis_1.UpdData = 2
Main.Study.Output_brachialis_1.FileName = "brachialis_1_data.txt"
Main.Study.Output_brachialis_1.NumberFormat.Digits = 15
Main.Study.Output_brachialis_1.NumberFormat.Width = 23
Main.Study.Output_brachialis_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_brachialis_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_brachialis_1.Values = 
Main.Study.Output_brachialis_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm"}
Main.Study.Output_brachialis_1.Format = 0
Main.Study.Output_brachialis_1.SepSign = ","
Main.Study.Output_brachialis_1.SepSpaceAutoOnOff = On
Main.Study.Output_brachialis_1.LineSepSign = ""
Main.Study.Output_brachialis_1.Header.TitleSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.Header.VarSectionOnOff = On
Main.Study.Output_brachialis_1.Header.ColumnNamesOnOff = On
Main.Study.Output_brachialis_1.Header.LinePrefix = ""
Main.Study.Output_brachialis_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_brachialis_1.Header.ColumnIDString = "col"
Main.Study.Output_brachialis_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_brachialis_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Brachialis_1.Fm
  0.000000000000000e+00,  4.824712108750718e+01
  2.020202020202020e-02,  4.765485400235678e+01
  4.040404040404041e-02,  4.713115732117165e+01
  6.060606060606061e-02,  4.661678171221366e+01
  8.080808080808081e-02,  4.607453402728158e+01
  1.010101010101010e-01,  4.553430671384156e+01
  1.212121212121212e-01,  4.499715871205927e+01
  1.414141414141414e-01,  4.446431173262525e+01
  1.616161616161616e-01,  4.382024840063108e+01
  1.818181818181818e-01,  4.314201013536807e+01
  2.020202020202020e-01,  4.246250774371186e+01
  2.222222222222222e-01,  4.178191404918790e+01
  2.424242424242424e-01,  4.110033380552693e+01
  2.626262626262627e-01,  4.041787700392328e+01
  2.828282828282828e-01,  3.973470001428029e+01
  3.030303030303030e-01,  3.905094246302551e+01
  3.232323232323233e-01,  3.836671327770428e+01
  3.434343434343434e-01,  3.768216791194826e+01
  3.636363636363636e-01,  3.699739318067387e+01
  3.838383838383838e-01,  3.631239598909565e+01
  4.040404040404040e-01,  3.562760270544536e+01
  4.242424242424243e-01,  3.494307312431139e+01
  4.444444444444444e-01,  3.425874602045031e+01
  4.646464646464646e-01,  3.357521195557637e+01
  4.848484848484849e-01,  3.289264562569127e+01
  5.050505050505051e-01,  3.220623675521754e+01
  5.252525252525253e-01,  3.152060073678155e+01
  5.454545454545454e-01,  3.082053860051543e+01
  5.656565656565656e-01,  3.011189432699152e+01
  5.858585858585859e-01,  2.940397627158103e+01
  6.060606060606061e-01,  2.869752396149556e+01
  6.262626262626263e-01,  2.798722083333427e+01
  6.464646464646465e-01,  2.727737952713690e+01
  6.666666666666666e-01,  2.656404576689996e+01
  6.868686868686869e-01,  2.585142141018316e+01
  7.070707070707071e-01,  2.513977321870772e+01
  7.272727272727273e-01,  2.442887742410831e+01
  7.474747474747475e-01,  2.371475211348860e+01
  7.676767676767676e-01,  2.300261617681264e+01
  7.878787878787878e-01,  2.229347503851010e+01
  8.080808080808081e-01,  2.158645299180094e+01
  8.282828282828283e-01,  2.085061951227285e+01
  8.484848484848485e-01,  2.011538446172120e+01
  8.686868686868687e-01,  1.938144835433268e+01
  8.888888888888888e-01,  1.864992809580243e+01
  9.090909090909091e-01,  1.792435972534731e+01
  9.292929292929293e-01,  1.718496479040721e+01
  9.494949494949495e-01,  1.642848784263263e+01
  9.696969696969697e-01,  1.566934601899518e+01
  9.898989898989899e-01,  1.491873044467759e+01
  1.010101010101010e+00,  1.417033958571041e+01
  1.030303030303030e+00,  1.349668503814778e+01
  1.050505050505051e+00,  1.296969582121410e+01
  1.070707070707071e+00,  1.239629013453568e+01
  1.090909090909091e+00,  1.179144187882989e+01
  1.111111111111111e+00,  1.116785935945561e+01
  1.131313131313131e+00,  1.053271604839793e+01
  1.151515151515152e+00,  9.863361677418306e+00
  1.171717171717172e+00,  9.171266369930574e+00
  1.191919191919192e+00,  8.454907340549072e+00
  1.212121212121212e+00,  7.759150153264903e+00
  1.232323232323232e+00,  7.066633130521209e+00
  1.252525252525253e+00,  6.353825980431621e+00
  1.272727272727273e+00,  5.654830370704198e+00
  1.292929292929293e+00,  4.975195994022095e+00
  1.313131313131313e+00,  4.306312294783930e+00
  1.333333333333333e+00,  3.718873207052445e+00
  1.353535353535354e+00,  2.715942073565555e+00
  1.373737373737374e+00,  1.416289629330638e+00
  1.393939393939394e+00,  3.638976463747575e-02
  1.414141414141414e+00,  4.906760413907422e-11
  1.434343434343434e+00,  1.094879736228384e-11
  1.454545454545455e+00,  5.259854438859955e-12
  1.474747474747475e+00,  5.731812024729624e-12
  1.494949494949495e+00,  2.605312103646067e-12
  1.515151515151515e+00,  1.593603527389148e-12
  1.535353535353535e+00,  1.201510818160277e-12
  1.555555555555556e+00,  9.296034295486896e-13
  1.575757575757576e+00,  7.748119559570833e-13
  1.595959595959596e+00,  6.635282632560090e-13
  1.616161616161616e+00,  1.397543436519398e-12
  1.636363636363636e+00,  6.965462412212294e-13
  1.656565656565657e+00,  6.509923743528234e-13
  1.676767676767677e+00,  2.610978729313174e-13
  1.696969696969697e+00,  2.163894278695948e-13
  1.717171717171717e+00,  1.958295452653922e-13
  1.737373737373737e+00,  2.017500863617169e-13
  1.757575757575758e+00,  2.078454825018090e-13
  1.777777777777778e+00,  1.909582324710164e-13
  1.797979797979798e+00,  1.801567221368300e-13
  1.818181818181818e+00,  1.771857762585777e-13
  1.838383838383838e+00,  1.620303944504136e-13
  1.858585858585859e+00,  1.467836270990299e-13
  1.878787878787879e+00,  1.368894601025128e-13
  1.898989898989899e+00,  1.321060794861645e-13
  1.919191919191919e+00,  1.217678832379533e-13
  1.939393939393939e+00,  1.150276682389439e-13
  1.959595959595960e+00,  1.089096197632414e-13
  1.979797979797980e+00,  1.037801710611309e-13
  2.000000000000000e+00,  9.772304247105689e-14
