---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LA_2.UpdData = 2
Main.Study.Output_tricps_LA_2.FileName = "triceps_LA_2_data.txt"
Main.Study.Output_tricps_LA_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LA_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LA_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LA_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LA_2.Values = 
Main.Study.Output_tricps_LA_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm"}
Main.Study.Output_tricps_LA_2.Format = 0
Main.Study.Output_tricps_LA_2.SepSign = ","
Main.Study.Output_tricps_LA_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LA_2.LineSepSign = ""
Main.Study.Output_tricps_LA_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LA_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LA_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LA_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LA_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LA_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_2.Fm
  2.305764411027569e+00,  1.678917530639148e+01
  2.330827067669173e+00,  1.666216864743256e+01
  2.355889724310777e+00,  1.647159959838799e+01
  2.380952380952381e+00,  1.617670587249641e+01
  2.406015037593985e+00,  1.573218078442058e+01
  2.431077694235589e+00,  1.510427697169544e+01
  2.456140350877193e+00,  1.428551436996573e+01
  2.481203007518797e+00,  1.336899343947538e+01
  2.506265664160401e+00,  1.224383356262649e+01
  2.531328320802005e+00,  1.081280542067711e+01
  2.556390977443609e+00,  9.089377043069996e+00
  2.581453634085213e+00,  7.090471704258545e+00
  2.606516290726817e+00,  3.543993573018463e+00
  2.631578947368421e+00,  1.256938146642862e-12
  2.656641604010025e+00,  2.407115955188312e-12
  2.681704260651629e+00,  5.865335872102334e-14
  2.706766917293233e+00,  6.166394452669160e-14
  2.731829573934837e+00,  5.037519364206077e-14
  2.756892230576441e+00,  4.157351405013831e-13
  2.781954887218045e+00,  9.771561824059513e-14
  2.807017543859649e+00,  4.709697210166769e-14
  2.832080200501253e+00,  6.145885687531681e-14
  2.857142857142857e+00,  3.594378906334644e-14
  2.882205513784461e+00,  2.543519730965434e-14
  2.907268170426065e+00,  2.922952609366097e-14
  2.932330827067669e+00,  3.403028230383454e-14
  2.957393483709273e+00,  3.991442696373068e-14
  2.982456140350877e+00,  4.573944729414331e-14
  3.007518796992481e+00,  6.534617878227652e-14
  3.032581453634085e+00,  5.850224578391219e-14
  3.057644110275689e+00,  3.380219351221549e-14
  3.082706766917293e+00,  2.817647607810570e-14
  3.107769423558897e+00,  2.395962848575833e-14
  3.132832080200501e+00,  2.466183865264383e-14
  3.157894736842105e+00,  2.589551084910072e-14
  3.182957393483709e+00,  2.693226734319982e-14
  3.208020050125313e+00,  1.740684975843544e-13
  3.233082706766917e+00,  1.248511788395567e-13
  3.258145363408521e+00,  8.608758122144240e-14
  3.283208020050125e+00,  9.349238357151950e-14
  3.308270676691729e+00,  9.414249187839662e-14
  3.333333333333333e+00,  1.063630331922378e-13
  3.358395989974937e+00,  1.302099948459889e-13
  3.383458646616541e+00,  1.399089459990828e-13
  3.408521303258145e+00,  7.282722336156968e-14
  3.433583959899749e+00,  2.352877112851072e-14
  3.458646616541353e+00,  2.800648168434727e-14
  3.483709273182957e+00,  3.709689862631928e-14
  3.508771929824561e+00,  5.129101354402537e-14
  3.533834586466165e+00,  1.068938776095752e-13
  3.558897243107769e+00,  1.182333808966781e-13
  3.583959899749373e+00,  1.504415769958399e-13
  3.609022556390977e+00,  1.786122686126588e-13
  3.634085213032581e+00,  2.000142029740511e-13
  3.659147869674185e+00,  1.798966702267666e-13
  3.684210526315789e+00,  1.838996047475164e-13
  3.709273182957393e+00,  3.001844535698661e-13
  3.734335839598997e+00,  4.671805588186653e-13
  3.759398496240602e+00,  1.056744559304824e-13
  3.784461152882205e+00,  5.836524672344246e-14
  3.809523809523809e+00,  1.120440623516550e-13
  3.834586466165413e+00,  9.098887569506748e-14
  3.859649122807017e+00,  3.371189502579008e-13
  3.884711779448621e+00,  4.112200644049948e-13
  3.909774436090225e+00,  4.615975337621549e-13
  3.934837092731829e+00,  3.352416775875285e-13
  3.959899749373434e+00,  3.313486696480460e-13
  3.984962406015037e+00,  3.555380317579993e-13
  4.010025062656641e+00,  3.856915677957191e-13
  4.035087719298246e+00,  4.295698042110107e-13
  4.060150375939849e+00,  4.694656382142669e-13
  4.085213032581454e+00,  5.162220213592205e-13
  4.110275689223057e+00,  5.657935678533881e-13
  4.135338345864661e+00,  8.004969437018858e-13
  4.160401002506266e+00,  6.426113841175163e-13
  4.185463659147869e+00,  5.884867298872976e-13
  4.210526315789473e+00,  4.912691169438681e-13
  4.235588972431078e+00,  4.803649051230425e-13
  4.260651629072681e+00,  5.504410141489478e-13
  4.285714285714286e+00,  7.122280779432478e-13
  4.310776942355890e+00,  9.414123050300042e-13
  4.335839598997493e+00,  1.380479050555581e-12
  4.360902255639098e+00,  2.066609612133560e-12
  4.385964912280701e+00,  5.313422548513423e-12
  4.411027568922306e+00,  1.224790171809769e-11
  4.436090225563910e+00,  9.771620608495803e-10
  4.461152882205513e+00,  3.059125334642593e-01
  4.486215538847118e+00,  7.442145229851782e-01
  4.511278195488721e+00,  1.193322064703431e+00
  4.536340852130325e+00,  1.677950705858016e+00
  4.561403508771930e+00,  2.199247707407845e+00
  4.586466165413533e+00,  2.775111214422850e+00
  4.611528822055138e+00,  3.408931469236316e+00
  4.636591478696742e+00,  4.053940189285858e+00
  4.661654135338345e+00,  4.701797512581716e+00
  4.686716791979950e+00,  5.381441911765871e+00
  4.711779448621554e+00,  6.065063478245367e+00
  4.736842105263158e+00,  6.576679151831856e+00
  4.761904761904762e+00,  7.135126195726434e+00
  4.786967418546365e+00,  7.764432226401283e+00
  4.812030075187970e+00,  8.458493848406286e+00
  4.837092731829574e+00,  9.071395656261956e+00
  4.862155388471177e+00,  9.632650069882528e+00
  4.887218045112782e+00,  1.013186070224691e+01
  4.912280701754385e+00,  1.054281786551597e+01
  4.937343358395990e+00,  1.085391029180879e+01
  4.962406015037594e+00,  1.098627413425528e+01
  4.987468671679197e+00,  1.110082682099817e+01
  5.012531328320802e+00,  1.116634460457880e+01
  5.037593984962406e+00,  1.103097140628135e+01
  5.062656641604010e+00,  1.084398524959717e+01
  5.087719298245615e+00,  1.058492391612687e+01
  5.112781954887218e+00,  1.027117476492438e+01
  5.137844611528823e+00,  9.944985661787502e+00
  5.162907268170426e+00,  9.597356175845748e+00
  5.187969924812030e+00,  9.121799617472236e+00
  5.213032581453634e+00,  8.641686421146215e+00
  5.238095238095238e+00,  8.151168212047013e+00
  5.263157894736842e+00,  7.652761012290455e+00
  5.288220551378446e+00,  7.150295852302696e+00
  5.313283208020049e+00,  6.659578413494212e+00
  5.338345864661655e+00,  6.181970998676460e+00
  5.363408521303258e+00,  5.722727289988289e+00
  5.388471177944862e+00,  5.303795056565765e+00
  5.413533834586466e+00,  4.935334250093224e+00
  5.438596491228070e+00,  4.626394566743052e+00
  5.463659147869674e+00,  4.375783172546555e+00
  5.488721804511279e+00,  4.185691477110516e+00
  5.513784461152882e+00,  4.049501486255727e+00
  5.538847117794487e+00,  3.961421445677113e+00
  5.563909774436090e+00,  3.865012601164849e+00
  5.588972431077694e+00,  3.700520690160595e+00
  5.614035087719298e+00,  3.625284439162101e+00
  5.639097744360902e+00,  3.602585174803294e+00
  5.664160401002506e+00,  3.619096450762300e+00
  5.689223057644110e+00,  3.671557848335246e+00
  5.714285714285714e+00,  3.752446848355607e+00
  5.739348370927319e+00,  3.859155234006451e+00
  5.764411027568922e+00,  3.951045917354480e+00
