---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 2
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  2.305764411027569e+00,  4.306256196285158e+01
  2.330827067669173e+00,  4.273900150725897e+01
  2.355889724310777e+00,  4.225037512582534e+01
  2.380952380952381e+00,  4.149431274709278e+01
  2.406015037593985e+00,  4.035612736938527e+01
  2.431077694235589e+00,  3.874620433437566e+01
  2.456140350877193e+00,  3.664665852951403e+01
  2.481203007518797e+00,  3.429627622904696e+01
  2.506265664160401e+00,  3.141056628410216e+01
  2.531328320802005e+00,  2.774003549264237e+01
  2.556390977443609e+00,  2.331916874506439e+01
  2.581453634085213e+00,  1.819027219852212e+01
  2.606516290726817e+00,  9.092153079276629e+00
  2.631578947368421e+00,  1.283138728165270e-12
  2.656641604010025e+00,  2.457181897511459e-12
  2.681704260651629e+00,  5.987088082978283e-14
  2.706766917293233e+00,  6.294158843034445e-14
  2.731829573934837e+00,  5.141714678662178e-14
  2.756892230576441e+00,  4.243209962478553e-13
  2.781954887218045e+00,  9.973096582038847e-14
  2.807017543859649e+00,  4.806723317377977e-14
  2.832080200501253e+00,  6.272384348953124e-14
  2.857142857142857e+00,  3.668310895690794e-14
  2.882205513784461e+00,  2.595814146650165e-14
  2.907268170426065e+00,  2.983036813762553e-14
  2.932330827067669e+00,  3.472985092190584e-14
  2.957393483709273e+00,  4.073520982950779e-14
  2.982456140350877e+00,  4.668053306608675e-14
  3.007518796992481e+00,  6.669171928498812e-14
  3.032581453634085e+00,  5.970805673293091e-14
  3.057644110275689e+00,  3.449978359514201e-14
  3.082706766917293e+00,  2.875880011821533e-14
  3.107769423558897e+00,  2.445560521370476e-14
  3.132832080200501e+00,  2.517326494494955e-14
  3.157894736842105e+00,  2.643355303215707e-14
  3.182957393483709e+00,  2.749299080126893e-14
  3.208020050125313e+00,  1.777002507624431e-13
  3.233082706766917e+00,  1.274617571565724e-13
  3.258145363408521e+00,  8.789160821310245e-14
  3.283208020050125e+00,  9.544515280437593e-14
  3.308270676691729e+00,  9.611339777662743e-14
  3.333333333333333e+00,  1.085948824988411e-13
  3.358395989974937e+00,  1.329483222372712e-13
  3.383458646616541e+00,  1.428575238498999e-13
  3.408521303258145e+00,  7.436513235290274e-14
  3.433583959899749e+00,  2.402654732530044e-14
  3.458646616541353e+00,  2.860164619384392e-14
  3.483709273182957e+00,  3.788574848270734e-14
  3.508771929824561e+00,  5.238817623813847e-14
  3.533834586466165e+00,  1.091791963843641e-13
  3.558897243107769e+00,  1.207621894656351e-13
  3.583959899749373e+00,  1.537259895966677e-13
  3.609022556390977e+00,  1.825993682068348e-13
  3.634085213032581e+00,  2.045803037110526e-13
  3.659147869674185e+00,  1.840862492431162e-13
  3.684210526315789e+00,  1.882846834127117e-13
  3.709273182957393e+00,  3.075202212438376e-13
  3.734335839598997e+00,  4.788623782703502e-13
  3.759398496240602e+00,  1.083415903679753e-13
  3.784461152882205e+00,  5.984435922590242e-14
  3.809523809523809e+00,  1.148938642113951e-13
  3.834586466165413e+00,  9.331044590991743e-14
  3.859649122807017e+00,  3.457430614387765e-13
  3.884711779448621e+00,  4.217617086715686e-13
  3.909774436090225e+00,  4.734476583301225e-13
  3.934837092731829e+00,  3.438547496538122e-13
  3.959899749373434e+00,  3.398141103535502e-13
  3.984962406015037e+00,  3.646201213069535e-13
  4.010025062656641e+00,  3.955365701061537e-13
  4.035087719298246e+00,  4.405196721995520e-13
  4.060150375939849e+00,  4.814081543805931e-13
  4.085213032581454e+00,  5.293177262100725e-13
  4.110275689223057e+00,  5.801873059331011e-13
  4.135338345864661e+00,  8.212399076156225e-13
  4.160401002506266e+00,  6.596251078882976e-13
  4.185463659147869e+00,  6.044025912416904e-13
  4.210526315789473e+00,  5.047912386586558e-13
  4.235588972431078e+00,  4.938802985143468e-13
  4.260651629072681e+00,  5.662889377772117e-13
  4.285714285714286e+00,  7.331591391340891e-13
  4.310776942355890e+00,  9.692620793010803e-13
  4.335839598997493e+00,  1.421332219120355e-12
  4.360902255639098e+00,  2.127756041448328e-12
  4.385964912280701e+00,  5.470505266949212e-12
  4.411027568922306e+00,  1.260941501275491e-11
  4.436090225563910e+00,  1.124828250097167e-09
  4.461152882205513e+00,  7.815857094493173e-01
  4.486215538847118e+00,  1.901693065457163e+00
  4.511278195488721e+00,  3.049459301634869e+00
  4.536340852130325e+00,  4.288157181475413e+00
  4.561403508771930e+00,  5.620761761150820e+00
  4.586466165413533e+00,  7.093067597427678e+00
  4.611528822055138e+00,  8.713561906655142e+00
  4.636591478696742e+00,  1.036348084907588e+01
  4.661654135338345e+00,  1.202032560141295e+01
  4.686716791979950e+00,  1.375378388416180e+01
  4.711779448621554e+00,  1.549803662742437e+01
  4.736842105263158e+00,  1.680222105951104e+01
  4.761904761904762e+00,  1.822558128250005e+01
  4.786967418546365e+00,  1.982942972614645e+01
  4.812030075187970e+00,  2.159810073132565e+01
  4.837092731829574e+00,  2.315901827058153e+01
  4.862155388471177e+00,  2.458857400841452e+01
  4.887218045112782e+00,  2.585748616323747e+01
  4.912280701754385e+00,  2.690184035348967e+01
  4.937343358395990e+00,  2.769121835619934e+01
  4.962406015037594e+00,  2.802911652376044e+01
  4.987468671679197e+00,  2.832227647964216e+01
  5.012531328320802e+00,  2.849039352873172e+01
