Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  2.180451127819549e+00,  1.235468166469094e-14
  2.205513784461153e+00,  2.328517806321534e-14
  2.230576441102757e+00,  1.152758146426038e-14
  2.255639097744361e+00,  1.799687994085400e-14
  2.280701754385965e+00,  2.036115762280333e-14
  2.305764411027569e+00,  2.113864522446140e-14
  2.330827067669173e+00,  7.573579396257829e-14
  2.355889724310777e+00,  6.129484533903354e-14
  2.380952380952381e+00,  6.573717777718337e-15
  2.406015037593985e+00,  5.575240614067564e-14
  2.431077694235589e+00,  1.004853372353883e-13
  2.456140350877193e+00,  7.282076006021320e-14
  2.481203007518797e+00,  7.331246359099340e-15
  2.506265664160401e+00,  1.273919695972070e-13
  2.531328320802005e+00,  2.298945739541841e-14
  2.556390977443609e+00,  1.546952595502824e-14
  2.581453634085213e+00,  1.483361354257488e-13
  2.606516290726817e+00,  1.316526216868102e-13
  2.631578947368421e+00,  2.767731800814238e-14
  2.656641604010025e+00,  8.626726525118422e-13
  2.681704260651629e+00,  1.196861163357823e-13
  2.706766917293233e+00,  1.918658175396465e+00
  2.731829573934837e+00,  4.233361366518639e+00
  2.756892230576441e+00,  5.552358518851576e+00
  2.781954887218045e+00,  6.437132255935889e+00
  2.807017543859649e+00,  7.116965331370638e+00
  2.832080200501253e+00,  7.626325835184400e+00
  2.857142857142857e+00,  8.082104526274401e+00
  2.882205513784461e+00,  8.319001641888887e+00
  2.907268170426065e+00,  8.445944852299275e+00
  2.932330827067669e+00,  8.520524572979156e+00
  2.957393483709273e+00,  8.552375892951263e+00
  2.982456140350877e+00,  8.496092978955623e+00
  3.007518796992481e+00,  8.333976962422469e+00
  3.032581453634085e+00,  7.766371532938250e+00
  3.057644110275689e+00,  7.180583409654441e+00
  3.082706766917293e+00,  6.659360380642930e+00
  3.107769423558897e+00,  6.136693428659370e+00
  3.132832080200501e+00,  5.617257003286420e+00
  3.157894736842105e+00,  5.121776791654777e+00
  3.182957393483709e+00,  4.631587509337975e+00
  3.208020050125313e+00,  4.150501297881937e+00
  3.233082706766917e+00,  3.681351458574318e+00
  3.258145363408521e+00,  3.252586298448601e+00
  3.283208020050125e+00,  2.756024675426543e+00
  3.308270676691729e+00,  2.261379072694730e+00
  3.333333333333333e+00,  1.659696436253547e+00
  3.358395989974937e+00,  8.522467130652949e-01
  3.383458646616541e+00,  1.523563981826163e-11
  3.408521303258145e+00,  5.065094221168139e-13
  3.433583959899749e+00,  8.366542036532944e-14
  3.458646616541353e+00,  6.452967656005427e-14
  3.483709273182957e+00,  6.290256552234472e-14
  3.508771929824561e+00,  6.806166543320500e-14
  3.533834586466165e+00,  1.144608798453714e-13
  3.558897243107769e+00,  1.046698629802609e-13
  3.583959899749373e+00,  1.122259280783730e-13
  3.609022556390977e+00,  1.139049973832055e-13
  3.634085213032581e+00,  1.102826709592006e-13
  3.659147869674185e+00,  8.653961202512141e-14
  3.684210526315789e+00,  7.801988154876783e-14
  3.709273182957393e+00,  1.133682339409619e-13
  3.734335839598997e+00,  1.573499181507454e-13
  3.759398496240602e+00,  3.181821688474015e-14
  3.784461152882205e+00,  1.563207322464968e-14
  3.809523809523809e+00,  2.674665563339266e-14
  3.834586466165413e+00,  1.939407398826248e-14
  3.859649122807017e+00,  6.423550601236289e-14
  3.884711779448621e+00,  7.008754997114946e-14
  3.909774436090225e+00,  7.037876665264870e-14
  3.934837092731829e+00,  4.570273048265019e-14
  3.959899749373434e+00,  4.033762507199073e-14
  3.984962406015037e+00,  3.858849393488574e-14
  4.010025062656641e+00,  3.722916352294029e-14
  4.035087719298246e+00,  3.675568796650744e-14
  4.060150375939849e+00,  3.545811466610726e-14
  4.085213032581454e+00,  3.423468619303516e-14
  4.110275689223057e+00,  3.272929851546333e-14
