---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_1.UpdData = 2
Main.Study.Output_tricps_LH_1.FileName = "triceps_LH_1_data.txt"
Main.Study.Output_tricps_LH_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_1.Values = 
Main.Study.Output_tricps_LH_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm"}
Main.Study.Output_tricps_LH_1.Format = 0
Main.Study.Output_tricps_LH_1.SepSign = ","
Main.Study.Output_tricps_LH_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_1.LineSepSign = ""
Main.Study.Output_tricps_LH_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
  0.000000000000000e+00,  1.239505058912652e+01
  2.506265664160401e-02,  1.241455790765315e+01
  5.012531328320802e-02,  1.245257401464315e+01
  7.518796992481203e-02,  1.244259144539284e+01
  1.002506265664160e-01,  1.231817159267407e+01
  1.253132832080200e-01,  1.220044241853431e+01
  1.503759398496241e-01,  1.208178993467386e+01
  1.754385964912281e-01,  1.189735989478902e+01
  2.005012531328321e-01,  1.162932831264894e+01
  2.255639097744361e-01,  1.137675617401757e+01
  2.506265664160401e-01,  1.114349727354210e+01
  2.756892230576441e-01,  1.093103680943090e+01
  3.007518796992481e-01,  1.076473263116361e+01
  3.258145363408521e-01,  1.064225489625256e+01
  3.508771929824561e-01,  1.057308349993939e+01
  3.759398496240601e-01,  1.056188844761901e+01
  4.010025062656641e-01,  1.061513887688354e+01
  4.260651629072681e-01,  1.071974623181788e+01
  4.511278195488722e-01,  1.087033406519065e+01
  4.761904761904762e-01,  1.105350444816057e+01
  5.012531328320802e-01,  1.125280157354030e+01
  5.263157894736842e-01,  1.148905755079564e+01
  5.513784461152882e-01,  1.173913911228713e+01
  5.764411027568922e-01,  1.188431810672231e+01
  6.015037593984962e-01,  1.205088830384855e+01
  6.265664160401002e-01,  1.224233074016941e+01
  6.516290726817042e-01,  1.244608047525648e+01
  6.766917293233082e-01,  1.265497040997461e+01
  7.017543859649122e-01,  1.286487763534505e+01
  7.268170426065163e-01,  1.307102890929714e+01
  7.518796992481203e-01,  1.329554606201268e+01
  7.769423558897243e-01,  1.357899775856350e+01
  8.020050125313283e-01,  1.386021755076067e+01
  8.270676691729323e-01,  1.413416821783864e+01
  8.521303258145363e-01,  1.440459378929025e+01
  8.771929824561403e-01,  1.466957211878725e+01
  9.022556390977443e-01,  1.492901039739524e+01
  9.273182957393483e-01,  1.518180615497058e+01
  9.523809523809523e-01,  1.542753288468044e+01
  9.774436090225563e-01,  1.566609479809738e+01
  1.002506265664160e+00,  1.589730368366649e+01
