---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LA_1.UpdData = 2
Main.Study.Output_tricps_LA_1.FileName = "triceps_LA_1_data.txt"
Main.Study.Output_tricps_LA_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LA_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LA_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LA_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LA_1.Values = 
Main.Study.Output_tricps_LA_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_1.Fm"}
Main.Study.Output_tricps_LA_1.Format = 0
Main.Study.Output_tricps_LA_1.SepSign = ","
Main.Study.Output_tricps_LA_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LA_1.LineSepSign = ""
Main.Study.Output_tricps_LA_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LA_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LA_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LA_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LA_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LA_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LA_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LA_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_1.Fm
  0.000000000000000e+00,  1.115819796503731e+01
  2.506265664160401e-02,  1.113072696251188e+01
  5.012531328320802e-02,  1.095415826694547e+01
  7.518796992481203e-02,  1.073540784757933e+01
  1.002506265664160e-01,  1.042594480286153e+01
  1.253132832080200e-01,  1.010569754292115e+01
  1.503759398496241e-01,  9.775652340603870e+00
  1.754385964912281e-01,  9.360564574994218e+00
  2.005012531328321e-01,  8.882719388655595e+00
  2.255639097744361e-01,  8.395971145196093e+00
  2.506265664160401e-01,  7.899880915075708e+00
  2.756892230576441e-01,  7.393872534641939e+00
  3.007518796992481e-01,  6.900073679277717e+00
  3.258145363408521e-01,  6.413155052491851e+00
  3.508771929824561e-01,  5.943843425903599e+00
  3.759398496240601e-01,  5.503263287171365e+00
  4.010025062656641e-01,  5.106758315069231e+00
  4.260651629072681e-01,  4.769724443001914e+00
  4.511278195488722e-01,  4.490166069493052e+00
  4.761904761904762e-01,  4.270002202512310e+00
  5.012531328320802e-01,  4.108487533401949e+00
  5.263157894736842e-01,  3.996966156004682e+00
  5.513784461152882e-01,  3.933327679961006e+00
  5.764411027568922e-01,  3.764600548571095e+00
  6.015037593984962e-01,  3.654478043011965e+00
  6.265664160401002e-01,  3.608130672182681e+00
  6.516290726817042e-01,  3.606566256323673e+00
  6.766917293233082e-01,  3.641934936282101e+00
  7.017543859649122e-01,  3.706811456426854e+00
  7.268170426065163e-01,  3.801701067034965e+00
  7.518796992481203e-01,  3.907820925525821e+00
  7.769423558897243e-01,  4.004749085698871e+00
  8.020050125313283e-01,  4.118702829925846e+00
  8.270676691729323e-01,  4.251099236814072e+00
  8.521303258145363e-01,  4.397691015517975e+00
  8.771929824561403e-01,  4.556928196664455e+00
  9.022556390977443e-01,  4.726368664427691e+00
  9.273182957393483e-01,  4.904776043659185e+00
  9.523809523809523e-01,  5.091063291095735e+00
  9.774436090225563e-01,  5.284232018546195e+00
  1.002506265664160e+00,  5.483545665801118e+00
  1.027568922305764e+00,  5.687623168418801e+00
  1.052631578947368e+00,  5.895528588485921e+00
  1.077694235588972e+00,  6.105184610065841e+00
  1.102756892230576e+00,  6.317210598040648e+00
  1.127819548872180e+00,  6.532171582872266e+00
  1.152882205513784e+00,  6.750221412808028e+00
  1.177944862155389e+00,  6.979718546769866e+00
  1.203007518796992e+00,  7.207021942851597e+00
