Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  2.180451127819549e+00,  1.134247168773127e+01
  2.205513784461153e+00,  1.143189657546000e+01
  2.230576441102757e+00,  1.151531981420485e+01
  2.255639097744361e+00,  1.159182743158158e+01
  2.280701754385965e+00,  1.165787251441527e+01
  2.305764411027569e+00,  1.172146383888538e+01
  2.330827067669173e+00,  1.178233333019939e+01
  2.355889724310777e+00,  1.183922361005466e+01
  2.380952380952381e+00,  1.187576507431064e+01
  2.406015037593985e+00,  1.188657138382238e+01
  2.431077694235589e+00,  1.185988138045671e+01
  2.456140350877193e+00,  1.182546689653318e+01
  2.481203007518797e+00,  1.179823876039271e+01
  2.506265664160401e+00,  1.192832472287523e+01
  2.531328320802005e+00,  1.234204967656052e+01
  2.556390977443609e+00,  1.288281757933206e+01
  2.581453634085213e+00,  1.350608580964815e+01
  2.606516290726817e+00,  1.423309976027633e+01
  2.631578947368421e+00,  1.495492123848283e+01
  2.656641604010025e+00,  1.598028488861968e+01
  2.681704260651629e+00,  1.699512590424455e+01
  2.706766917293233e+00,  1.776638875047558e+01
  2.731829573934837e+00,  1.838078842064862e+01
  2.756892230576441e+00,  1.887138826100509e+01
  2.781954887218045e+00,  1.925722531039245e+01
  2.807017543859649e+00,  1.957467636386106e+01
  2.832080200501253e+00,  1.983088390128512e+01
  2.857142857142857e+00,  2.006118747272864e+01
  2.882205513784461e+00,  2.015894773376692e+01
  2.907268170426065e+00,  2.020499888598375e+01
  2.932330827067669e+00,  2.023456931025342e+01
  2.957393483709273e+00,  2.025071249438567e+01
  2.982456140350877e+00,  2.024704532662647e+01
  3.007518796992481e+00,  2.017559462874802e+01
  3.032581453634085e+00,  1.985103541616107e+01
  3.057644110275689e+00,  1.954519171029022e+01
  3.082706766917293e+00,  1.929251194324490e+01
  3.107769423558897e+00,  1.903950182299772e+01
  3.132832080200501e+00,  1.880541602624084e+01
  3.157894736842105e+00,  1.858388422166751e+01
  3.182957393483709e+00,  1.837195581633405e+01
  3.208020050125313e+00,  1.816883188975498e+01
  3.233082706766917e+00,  1.797342867873331e+01
  3.258145363408521e+00,  1.778746036976930e+01
  3.283208020050125e+00,  1.767896554277596e+01
  3.308270676691729e+00,  1.762190503188673e+01
  3.333333333333333e+00,  1.754264864870901e+01
  3.358395989974937e+00,  1.748837492235083e+01
  3.383458646616541e+00,  1.745075059946429e+01
  3.408521303258145e+00,  1.728283116231606e+01
  3.433583959899749e+00,  1.711654967414612e+01
  3.458646616541353e+00,  1.695665786534122e+01
  3.483709273182957e+00,  1.680128412816585e+01
  3.508771929824561e+00,  1.665214359125384e+01
  3.533834586466165e+00,  1.650959244474415e+01
  3.558897243107769e+00,  1.637288069791941e+01
  3.583959899749373e+00,  1.624155768126926e+01
  3.609022556390977e+00,  1.611534755365856e+01
  3.634085213032581e+00,  1.599402193688118e+01
  3.659147869674185e+00,  1.587731865184113e+01
  3.684210526315789e+00,  1.576795606282752e+01
  3.709273182957393e+00,  1.566107053813062e+01
  3.734335839598997e+00,  1.555777554649608e+01
  3.759398496240602e+00,  1.545601970271611e+01
  3.784461152882205e+00,  1.536052575694870e+01
  3.809523809523809e+00,  1.526420135528614e+01
  3.834586466165413e+00,  1.517094933370675e+01
  3.859649122807017e+00,  1.507986401574769e+01
  3.884711779448621e+00,  1.499062100229617e+01
  3.909774436090225e+00,  1.490293202572131e+01
  3.934837092731829e+00,  1.481656749247698e+01
  3.959899749373434e+00,  1.473146314621348e+01
  3.984962406015037e+00,  1.464735589325649e+01
  4.010025062656641e+00,  1.456408592935744e+01
  4.035087719298246e+00,  1.448146863055835e+01
  4.060150375939849e+00,  1.439932017772803e+01
