---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_FE.UpdData = 2
Main.Study.Output_FE.FileName = "FE_data.txt"
Main.Study.Output_FE.NumberFormat.Digits = 15
Main.Study.Output_FE.NumberFormat.Width = 23
Main.Study.Output_FE.NumberFormat.Style = ScientificNumber
Main.Study.Output_FE.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_FE.Values = 
Main.Study.Output_FE.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos"}
Main.Study.Output_FE.Format = 0
Main.Study.Output_FE.SepSign = ","
Main.Study.Output_FE.SepSpaceAutoOnOff = On
Main.Study.Output_FE.LineSepSign = ""
Main.Study.Output_FE.Header.TitleSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionOnOff = On
Main.Study.Output_FE.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.Header.VarSectionOnOff = On
Main.Study.Output_FE.Header.ColumnNamesOnOff = On
Main.Study.Output_FE.Header.LinePrefix = ""
Main.Study.Output_FE.Header.ShortenNamesOnOff = Off
Main.Study.Output_FE.Header.ColumnIDString = "col"
Main.Study.Output_FE.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_FE.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Jnt.FE.Pos
  2.481203007518797e+00,  1.633852349158171e+00
  2.506265664160401e+00,  1.639382079353046e+00
  2.531328320802005e+00,  1.644611445354889e+00
  2.556390977443609e+00,  1.649535208806356e+00
  2.581453634085213e+00,  1.654148396002245e+00
  2.606516290726817e+00,  1.658446309553022e+00
  2.631578947368421e+00,  1.662424539779302e+00
  2.656641604010025e+00,  1.666078975746936e+00
  2.681704260651629e+00,  1.669405815852611e+00
  2.706766917293233e+00,  1.672401577871208e+00
  2.731829573934837e+00,  1.675063108378622e+00
  2.756892230576441e+00,  1.677387591467300e+00
  2.781954887218045e+00,  1.679372556676431e+00
  2.807017543859649e+00,  1.681015886064574e+00
  2.832080200501253e+00,  1.682315820359250e+00
  2.857142857142857e+00,  1.683270964125873e+00
  2.882205513784461e+00,  1.683880289907034e+00
  2.907268170426065e+00,  1.684143141292557e+00
  2.932330827067669e+00,  1.684059234890797e+00
  2.957393483709273e+00,  1.683628661182081e+00
  2.982456140350877e+00,  1.682851884246060e+00
  3.007518796992481e+00,  1.681729740365585e+00
  3.032581453634085e+00,  1.680263435520631e+00
  3.057644110275689e+00,  1.678454541796494e+00
  3.082706766917293e+00,  1.676304992740666e+00
  3.107769423558897e+00,  1.673817077712666e+00
  3.132832080200501e+00,  1.670993435280055e+00
  3.157894736842105e+00,  1.667837045722175e+00
  3.182957393483709e+00,  1.664351222710525e+00
  3.208020050125313e+00,  1.660539604240845e+00
  3.233082706766917e+00,  1.656406142897527e+00
  3.258145363408521e+00,  1.651955095534799e+00
  3.283208020050125e+00,  1.647191012462443e+00
  3.308270676691729e+00,  1.642118726225487e+00
  3.333333333333333e+00,  1.636743340068275e+00
  3.358395989974937e+00,  1.631070216172993e+00
  3.383458646616541e+00,  1.625104963761507e+00
  3.408521303258145e+00,  1.618853427147282e+00
  3.433583959899749e+00,  1.612321673821089e+00
  3.458646616541353e+00,  1.605515982650604e+00
  3.483709273182957e+00,  1.598442832269641e+00
  3.508771929824561e+00,  1.591108889727893e+00
  3.533834586466165e+00,  1.583520999466846e+00
  3.558897243107769e+00,  1.575686172681918e+00
  3.583959899749373e+00,  1.567611577125087e+00
  3.609022556390977e+00,  1.559304527396337e+00
  3.634085213032581e+00,  1.550772475766308e+00
  3.659147869674185e+00,  1.542023003566555e+00
  3.684210526315789e+00,  1.533063813177993e+00
  3.709273182957393e+00,  1.523902720642439e+00
  3.734335839598997e+00,  1.514547648916553e+00
  3.759398496240602e+00,  1.505006621782315e+00
  3.784461152882205e+00,  1.495287758423063e+00
  3.809523809523809e+00,  1.485399268669342e+00
  3.834586466165413e+00,  1.475349448914388e+00
  3.859649122807017e+00,  1.465146678694704e+00
  3.884711779448621e+00,  1.454799417927302e+00
  3.909774436090225e+00,  1.444316204791386e+00
  3.934837092731829e+00,  1.433705654238685e+00
  3.959899749373434e+00,  1.422976457113320e+00
  3.984962406015037e+00,  1.412137379858851e+00
  4.010025062656641e+00,  1.401197264787003e+00
  4.035087719298246e+00,  1.390165030879595e+00
  4.060150375939849e+00,  1.379049675092091e+00
  4.085213032581454e+00,  1.367860274124214e+00
  4.110275689223057e+00,  1.356605986619894e+00
  4.135338345864661e+00,  1.345296055755627e+00
  4.160401002506266e+00,  1.333939812172926e+00
  4.185463659147869e+00,  1.322546677206921e+00
  4.210526315789473e+00,  1.311126166359355e+00
  4.235588972431078e+00,  1.299687892960094e+00
  4.260651629072681e+00,  1.288241571956772e+00
  4.285714285714286e+00,  1.276797023767462e+00
  4.310776942355890e+00,  1.265364178126040e+00
  4.335839598997493e+00,  1.253953077844375e+00
  4.360902255639098e+00,  1.242573882409547e+00
  4.385964912280701e+00,  1.231236871327978e+00
  4.411027568922306e+00,  1.219952447121700e+00
  4.436090225563910e+00,  1.208731137875054e+00
  4.461152882205513e+00,  1.197583599222925e+00
  4.486215538847118e+00,  1.186520615664274e+00
  4.511278195488721e+00,  1.175553101077462e+00
  4.536340852130325e+00,  1.164692098306625e+00
  4.561403508771930e+00,  1.153948777681495e+00
  4.586466165413533e+00,  1.143334434326818e+00
  4.611528822055138e+00,  1.132860484111966e+00
  4.636591478696742e+00,  1.122538458087056e+00
  4.661654135338345e+00,  1.112379995248967e+00
  4.686716791979950e+00,  1.102396833479711e+00
  4.711779448621554e+00,  1.092600798500820e+00
  4.736842105263158e+00,  1.083003790691554e+00
  4.761904761904762e+00,  1.073617769625951e+00
  4.786967418546365e+00,  1.064454736194687e+00
  4.812030075187970e+00,  1.055526712192922e+00
  4.837092731829574e+00,  1.046845717275012e+00
  4.862155388471177e+00,  1.038423743201703e+00
  4.887218045112782e+00,  1.030272725335474e+00
  4.912280701754385e+00,  1.022404511375101e+00
  4.937343358395990e+00,  1.014830827361494e+00
  4.962406015037594e+00,  1.007563241033009e+00
  4.987468671679197e+00,  1.000613122659575e+00
  5.012531328320802e+00,  9.939916035402810e-01
  5.037593984962406e+00,  9.877095324077071e-01
  5.062656641604010e+00,  9.817774300430244e-01
  5.087719298245615e+00,  9.762054424672161e-01
  5.112781954887218e+00,  9.710032931339636e-01
  5.137844611528823e+00,  9.661802346067523e-01
  5.162907268170426e+00,  9.617450002545502e-01
  5.187969924812030e+00,  9.577057565445891e-01
  5.213032581453634e+00,  9.540700565453143e-01
  5.238095238095238e+00,  9.508447952752038e-01
  5.263157894736842e+00,  9.480361675421033e-01
  5.288220551378446e+00,  9.456496289115657e-01
  5.313283208020049e+00,  9.436898604202869e-01
  5.338345864661655e+00,  9.421607376118378e-01
  5.363408521303258e+00,  9.410653044166130e-01
  5.388471177944862e+00,  9.404057523273290e-01
  5.413533834586466e+00,  9.401834052370026e-01
  5.438596491228070e+00,  9.403987102105112e-01
  5.463659147869674e+00,  9.410512343563531e-01
  5.488721804511279e+00,  9.421396678553720e-01
  5.513784461152882e+00,  9.436618330914892e-01
  5.538847117794487e+00,  9.456146997196144e-01
  5.563909774436090e+00,  9.479944054012498e-01
  5.588972431077694e+00,  9.507962818423384e-01
  5.614035087719298e+00,  9.540148856833003e-01
  5.639097744360902e+00,  9.576440337203495e-01
  5.664160401002506e+00,  9.616768418816495e-01
  5.689223057644110e+00,  9.661057673427080e-01
  5.714285714285714e+00,  9.709226531427447e-01
  5.739348370927319e+00,  9.761187746573405e-01
  5.764411027568922e+00,  9.816848872913859e-01
  5.789473684210527e+00,  9.876112747788083e-01
  5.814536340852130e+00,  9.938877975098552e-01
  5.839598997493734e+00,  1.000503940350821e+00
  5.864661654135338e+00,  1.007448859472752e+00
  5.889724310776943e+00,  1.014711427762616e+00
  5.914786967418546e+00,  1.022280278450622e+00
  5.939849624060151e+00,  1.030143846648649e+00
  5.964912280701754e+00,  1.038290408555534e+00
  5.989974937343359e+00,  1.046708118143674e+00
  6.015037593984962e+00,  1.055385041196706e+00
  6.040100250626566e+00,  1.064309186619330e+00
  6.065162907268170e+00,  1.073468534986479e+00
  6.090225563909774e+00,  1.082851064340174e+00
  6.115288220551378e+00,  1.092444773277880e+00
  6.140350877192983e+00,  1.102237701406294e+00
  6.165413533834586e+00,  1.112217947259337e+00
  6.190476190476191e+00,  1.122373683798914e+00
  6.215538847117794e+00,  1.132693171632245e+00
  6.240601503759398e+00,  1.143164770090603e+00
  6.265664160401002e+00,  1.153776946321595e+00
  6.290726817042607e+00,  1.164518282551257e+00
  6.315789473684211e+00,  1.175377481673501e+00
  6.340852130325815e+00,  1.186343371323586e+00
  6.365914786967418e+00,  1.197404906589355e+00
  6.390977443609023e+00,  1.208551171509658e+00
  6.416040100250626e+00,  1.219771379504023e+00
  6.441102756892231e+00,  1.231054872871181e+00
  6.466165413533834e+00,  1.242391121487338e+00
  6.491228070175438e+00,  1.253769720827835e+00
  6.516290726817042e+00,  1.265180389428538e+00
  6.541353383458647e+00,  1.276612965895941e+00
  6.566416040100250e+00,  1.288057405567853e+00
  6.591478696741855e+00,  1.299503776919517e+00
  6.616541353383458e+00,  1.310942257803400e+00
  6.641604010025063e+00,  1.322363131604538e+00
  6.666666666666666e+00,  1.333756783387397e+00
  6.691729323308271e+00,  1.345113696104680e+00
  6.716791979949875e+00,  1.356424446933258e+00
  6.741854636591479e+00,  1.367679703797680e+00
  6.766917293233083e+00,  1.378870222137212e+00
  6.791979949874687e+00,  1.389986841968239e+00
  6.817042606516290e+00,  1.401020485289998e+00
  6.842105263157895e+00,  1.411962153878048e+00
  6.867167919799498e+00,  1.422802927506445e+00
  6.892230576441102e+00,  1.433533962636389e+00
  6.917293233082706e+00,  1.444146491605983e+00
  6.942355889724311e+00,  1.454631822352674e+00
  6.967418546365915e+00,  1.464981338696981e+00
  6.992481203007519e+00,  1.475186501213002e+00
  7.017543859649122e+00,  1.485238848708104e+00
  7.042606516290727e+00,  1.495130000331016e+00
  7.067669172932330e+00,  1.504851658324115e+00
  7.092731829573935e+00,  1.514395611432202e+00
  7.117794486215539e+00,  1.523753738976307e+00
  7.142857142857143e+00,  1.532918015597049e+00
  7.167919799498747e+00,  1.541880516667857e+00
  7.192982456140351e+00,  1.550633424373863e+00
  7.218045112781954e+00,  1.559169034447492e+00
  7.243107769423559e+00,  1.567479763546763e+00
  7.268170426065162e+00,  1.575558157257005e+00
  7.293233082706767e+00,  1.583396898691214e+00
  7.318295739348370e+00,  1.590988817658564e+00
  7.343358395989975e+00,  1.598326900364752e+00
  7.368421052631579e+00,  1.605404299601883e+00
  7.393483709273183e+00,  1.612214345379684e+00
  7.418546365914787e+00,  1.618750555943840e+00
  7.443609022556391e+00,  1.625006649121541e+00
  7.468671679197994e+00,  1.630976553928599e+00
  7.493734335839600e+00,  1.636654422367424e+00
  7.518796992481203e+00,  1.642034641340089e+00
  7.543859649122807e+00,  1.647111844596554e+00
  7.568922305764411e+00,  1.651880924634305e+00
  7.593984962406015e+00,  1.656337044462735e+00
  7.619047619047619e+00,  1.660475649143413e+00
  7.644110275689223e+00,  1.664292477016183e+00
  7.669172932330826e+00,  1.667783570520694e+00
  7.694235588972431e+00,  1.670945286523858e+00
  7.719298245614034e+00,  1.673774306065529e+00
  7.744360902255639e+00,  1.676267643437750e+00
  7.769423558897243e+00,  1.678422654517045e+00
  7.794486215538847e+00,  1.680237044274451e+00
  7.819548872180451e+00,  1.681708873394350e+00
  7.844611528822055e+00,  1.682836563940402e+00
  7.869674185463658e+00,  1.683618904015215e+00
  7.894736842105264e+00,  1.684055051369340e+00
  7.919799498746867e+00,  1.684144535924999e+00
  7.944862155388472e+00,  1.683887261190168e+00
  7.969924812030075e+00,  1.683283504549322e+00
  7.994987468671679e+00,  1.682333916428044e+00
  8.020050125313283e+00,  1.681039518339554e+00
  8.045112781954888e+00,  1.679401699832096e+00
  8.070175438596491e+00,  1.677422214366540e+00
  8.095238095238095e+00,  1.675103174163628e+00
  8.120300751879698e+00,  1.672447044069695e+00
  8.145363408521304e+00,  1.669456634498381e+00
  8.170426065162907e+00,  1.666135093513657e+00
  8.195488721804512e+00,  1.662485898126298e+00
  8.220551378446114e+00,  1.658512844881799e+00
  8.245614035087719e+00,  1.654220039822366e+00
  8.270676691729323e+00,  1.649611887909283e+00
  8.295739348370928e+00,  1.644693081994336e+00
  8.320802005012531e+00,  1.639468591430403e+00
  8.345864661654135e+00,  1.633943650411537e+00
  8.370927318295738e+00,  1.628123746132157e+00
  8.395989974937343e+00,  1.622014606853251e+00
  8.421052631578947e+00,  1.615622189960929e+00
  8.446115288220552e+00,  1.608952670099339e+00
  8.471177944862156e+00,  1.602012427455890e+00
  8.496240601503759e+00,  1.594808036272206e+00
  8.521303258145362e+00,  1.587346253649088e+00
  8.546365914786968e+00,  1.579634008708394e+00
  8.571428571428571e+00,  1.571678392169005e+00
  8.596491228070175e+00,  1.563486646388194e+00
  8.621553884711780e+00,  1.555066155913753e+00
  8.646616541353383e+00,  1.546424438586256e+00
  8.671679197994987e+00,  1.537569137224955e+00
  8.696741854636592e+00,  1.528508011925021e+00
  8.721804511278195e+00,  1.519248932988180e+00
  8.746867167919799e+00,  1.509799874503502e+00
  8.771929824561402e+00,  1.500168908589824e+00
  8.796992481203008e+00,  1.490364200306443e+00
  8.822055137844611e+00,  1.480394003234101e+00
  8.847117794486216e+00,  1.470266655723806e+00
  8.872180451127820e+00,  1.459990577807053e+00
  8.897243107769423e+00,  1.449574268757043e+00
  8.922305764411027e+00,  1.439026305286862e+00
  8.947368421052632e+00,  1.428355340367197e+00
  8.972431077694235e+00,  1.417570102642769e+00
  8.997493734335841e+00,  1.406679396423598e+00
  9.022556390977442e+00,  1.395692102224093e+00
  9.047619047619047e+00,  1.384617177819909e+00
  9.072681704260651e+00,  1.373463659789562e+00
  9.097744360902256e+00,  1.362240665504608e+00
  9.122807017543860e+00,  1.350957395529132e+00
  9.147869674185463e+00,  1.339623136385905e+00
