---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_2.UpdData = 2
Main.Study.Output_tricps_LH_2.FileName = "triceps_LH_2_data.txt"
Main.Study.Output_tricps_LH_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_2.Values = 
Main.Study.Output_tricps_LH_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm"}
Main.Study.Output_tricps_LH_2.Format = 0
Main.Study.Output_tricps_LH_2.SepSign = ","
Main.Study.Output_tricps_LH_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_2.LineSepSign = ""
Main.Study.Output_tricps_LH_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
  2.305764411027569e+00,  1.628468910863306e+01
  2.330827067669173e+00,  1.594096154097072e+01
  2.355889724310777e+00,  1.549087242978676e+01
  2.380952380952381e+00,  1.487488624853885e+01
  2.406015037593985e+00,  1.401792250152063e+01
  2.431077694235589e+00,  1.285764214140061e+01
  2.456140350877193e+00,  1.133828666835474e+01
  2.481203007518797e+00,  9.534201750752667e+00
  2.506265664160401e+00,  7.054956004307672e+00
  2.531328320802005e+00,  2.688531023684350e+00
  2.556390977443609e+00,  1.596043796018117e-13
  2.581453634085213e+00,  6.508976477940584e-13
  2.606516290726817e+00,  3.032541796822407e-13
  2.631578947368421e+00,  4.299511691030776e-14
  2.656641604010025e+00,  6.348958453131009e-13
  2.681704260651629e+00,  2.503406520195046e-14
  2.706766917293233e+00,  3.192150419152931e-14
  2.731829573934837e+00,  2.879800739241450e-14
  2.756892230576441e+00,  2.534664690023147e-13
  2.781954887218045e+00,  6.226518526260822e-14
  2.807017543859649e+00,  3.098849547874124e-14
  2.832080200501253e+00,  4.137170109837484e-14
  2.857142857142857e+00,  2.466598258053248e-14
  2.882205513784461e+00,  1.762586405097849e-14
  2.907268170426065e+00,  2.035117146762297e-14
  2.932330827067669e+00,  2.370592523305323e-14
  2.957393483709273e+00,  2.777730386659968e-14
  2.982456140350877e+00,  3.198813416074307e-14
  3.007518796992481e+00,  4.571616555752432e-14
  3.032581453634085e+00,  4.018508256566004e-14
  3.057644110275689e+00,  2.268053065708751e-14
  3.082706766917293e+00,  1.850755808177245e-14
  3.107769423558897e+00,  1.538874841945168e-14
  3.132832080200501e+00,  1.547584406067169e-14
  3.157894736842105e+00,  1.589017642684829e-14
  3.182957393483709e+00,  1.615105612649995e-14
  3.208020050125313e+00,  1.020628310563780e-13
  3.233082706766917e+00,  7.161971965169208e-14
  3.258145363408521e+00,  4.842274937940452e-14
  3.283208020050125e+00,  5.165545902436838e-14
