---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LA_1.UpdData = 2
Main.Study.Output_tricps_LA_1.FileName = "triceps_LA_1_data.txt"
Main.Study.Output_tricps_LA_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LA_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LA_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LA_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LA_1.Values = 
Main.Study.Output_tricps_LA_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_1.Fm"}
Main.Study.Output_tricps_LA_1.Format = 0
Main.Study.Output_tricps_LA_1.SepSign = ","
Main.Study.Output_tricps_LA_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LA_1.LineSepSign = ""
Main.Study.Output_tricps_LA_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LA_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LA_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LA_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LA_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LA_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LA_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LA_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LA_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LA_1.Fm
  0.000000000000000e+00,  1.533745292619516e+01
  2.020202020202020e-02,  1.517775340256089e+01
  4.040404040404041e-02,  1.501373009827675e+01
  6.060606060606061e-02,  1.485104818461076e+01
  8.080808080808081e-02,  1.469348561072474e+01
  1.010101010101010e-01,  1.453967867978097e+01
  1.212121212121212e-01,  1.439190181560789e+01
  1.414141414141414e-01,  1.425314764240948e+01
  1.616161616161616e-01,  1.411908019620252e+01
  1.818181818181818e-01,  1.399025393308601e+01
  2.020202020202020e-01,  1.386637816466599e+01
  2.222222222222222e-01,  1.374751348244721e+01
  2.424242424242424e-01,  1.363404814479045e+01
  2.626262626262627e-01,  1.352617501617211e+01
  2.828282828282828e-01,  1.342342035109933e+01
  3.030303030303030e-01,  1.332797599470680e+01
  3.232323232323233e-01,  1.323524158620045e+01
  3.434343434343434e-01,  1.314780085003009e+01
  3.636363636363636e-01,  1.306401105850125e+01
  3.838383838383838e-01,  1.298522713701085e+01
  4.040404040404040e-01,  1.291168754673491e+01
  4.242424242424243e-01,  1.284353741142556e+01
  4.444444444444444e-01,  1.278071542214890e+01
  4.646464646464646e-01,  1.272309067059018e+01
  4.848484848484849e-01,  1.267063572612392e+01
  5.050505050505051e-01,  1.262285749981141e+01
  5.252525252525253e-01,  1.258010291184501e+01
  5.454545454545454e-01,  1.254241875409836e+01
  5.656565656565656e-01,  1.251009695704162e+01
  5.858585858585859e-01,  1.248033895716133e+01
  6.060606060606061e-01,  1.238619971176451e+01
  6.262626262626263e-01,  1.227591598341057e+01
  6.464646464646465e-01,  1.216402637679634e+01
  6.666666666666666e-01,  1.204863623958784e+01
  6.868686868686869e-01,  1.193331138761839e+01
  7.070707070707071e-01,  1.184014667365562e+01
  7.272727272727273e-01,  1.175068369337439e+01
  7.474747474747475e-01,  1.168766863149438e+01
  7.676767676767676e-01,  1.161829582819676e+01
  7.878787878787878e-01,  1.156094214236053e+01
  8.080808080808081e-01,  1.146886067581806e+01
  8.282828282828283e-01,  1.138717332657977e+01
  8.484848484848485e-01,  1.131396071409544e+01
  8.686868686868687e-01,  1.120985851561247e+01
  8.888888888888888e-01,  1.111208909136453e+01
  9.090909090909091e-01,  1.095589096770498e+01
  9.292929292929293e-01,  1.076656907779846e+01
  9.494949494949495e-01,  1.061611818105251e+01
  9.696969696969697e-01,  1.048245667820476e+01
