---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_ME_2.UpdData = 2
Main.Study.Output_tricps_ME_2.FileName = "triceps_ME_2_data.txt"
Main.Study.Output_tricps_ME_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_ME_2.NumberFormat.Width = 23
Main.Study.Output_tricps_ME_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_ME_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_ME_2.Values = 
Main.Study.Output_tricps_ME_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm"}
Main.Study.Output_tricps_ME_2.Format = 0
Main.Study.Output_tricps_ME_2.SepSign = ","
Main.Study.Output_tricps_ME_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_ME_2.LineSepSign = ""
Main.Study.Output_tricps_ME_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_ME_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_ME_2.Header.LinePrefix = ""
Main.Study.Output_tricps_ME_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_ME_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_ME_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_ME_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_ME_2.Fm
  0.000000000000000e+00,  3.910295703926652e+01
  2.020202020202020e-02,  3.869643375900658e+01
  4.040404040404041e-02,  3.827887127374328e+01
  6.060606060606061e-02,  3.786472319860983e+01
  8.080808080808081e-02,  3.746362254835964e+01
  1.010101010101010e-01,  3.707209269647468e+01
  1.212121212121212e-01,  3.669593316670188e+01
  1.414141414141414e-01,  3.634277513986025e+01
  1.616161616161616e-01,  3.600156355128195e+01
  1.818181818181818e-01,  3.567371264595027e+01
  2.020202020202020e-01,  3.535848171012326e+01
  2.222222222222222e-01,  3.505602575307322e+01
  2.424242424242424e-01,  3.476733538866971e+01
  2.626262626262627e-01,  3.449290302894435e+01
  2.828282828282828e-01,  3.423152120464532e+01
  3.030303030303030e-01,  3.398878012450059e+01
  3.232323232323233e-01,  3.375294872813461e+01
  3.434343434343434e-01,  3.353061652175217e+01
  3.636363636363636e-01,  3.331759466712179e+01
  3.838383838383838e-01,  3.311733917589201e+01
  4.040404040404040e-01,  3.293045891547846e+01
  4.242424242424243e-01,  3.275732472466242e+01
  4.444444444444444e-01,  3.259778099580269e+01
  4.646464646464646e-01,  3.245149459438844e+01
  4.848484848484849e-01,  3.231839632870997e+01
  5.050505050505051e-01,  3.219722923437227e+01
  5.252525252525253e-01,  3.208887897302448e+01
  5.454545454545454e-01,  3.199346566261277e+01
  5.656565656565656e-01,  3.191173481104347e+01
  5.858585858585859e-01,  3.183654834986649e+01
  6.060606060606061e-01,  3.159713023890523e+01
  6.262626262626263e-01,  3.131652359890452e+01
  6.464646464646465e-01,  3.103181501917539e+01
  6.666666666666666e-01,  3.073817041706420e+01
  6.868686868686869e-01,  3.044468619736273e+01
  7.070707070707071e-01,  3.020773272429540e+01
  7.272727272727273e-01,  2.998021988900674e+01
  7.474747474747475e-01,  2.982018339227690e+01
  7.676767676767676e-01,  2.964392492430048e+01
  7.878787878787878e-01,  2.949833264187666e+01
  8.080808080808081e-01,  2.926412864934666e+01
  8.282828282828283e-01,  2.905644272040416e+01
  8.484848484848485e-01,  2.887037899332253e+01
  8.686868686868687e-01,  2.860548855097691e+01
  8.888888888888888e-01,  2.835675209204577e+01
  9.090909090909091e-01,  2.795890257273119e+01
  9.292929292929293e-01,  2.747650641964441e+01
  9.494949494949495e-01,  2.709328842894338e+01
  9.696969696969697e-01,  2.675291080679117e+01
  9.898989898989899e-01,  2.651349430948224e+01
  1.010101010101010e+00,  2.633298498195006e+01
  1.030303030303030e+00,  2.619807439603680e+01
  1.050505050505051e+00,  2.576521584333478e+01
  1.070707070707071e+00,  2.542018675139990e+01
  1.090909090909091e+00,  2.514543102973795e+01
  1.111111111111111e+00,  2.494884623951686e+01
  1.131313131313131e+00,  2.484199846327658e+01
  1.151515151515152e+00,  2.476970036859145e+01
