---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_1.UpdData = 2
Main.Study.Output_tricps_LH_1.FileName = "triceps_LH_1_data.txt"
Main.Study.Output_tricps_LH_1.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_1.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_1.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_1.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_1.Values = 
Main.Study.Output_tricps_LH_1.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm"}
Main.Study.Output_tricps_LH_1.Format = 0
Main.Study.Output_tricps_LH_1.SepSign = ","
Main.Study.Output_tricps_LH_1.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_1.LineSepSign = ""
Main.Study.Output_tricps_LH_1.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_1.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_1.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_1.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_1.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_1.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_1.Fm
  0.000000000000000e+00,  3.756187039525613e+01
  2.020202020202020e-02,  3.717576429806144e+01
  4.040404040404041e-02,  3.678850774066183e+01
  6.060606060606061e-02,  3.640101818256579e+01
  8.080808080808081e-02,  3.601358446347406e+01
  1.010101010101010e-01,  3.562641438770899e+01
  1.212121212121212e-01,  3.524042010054998e+01
  1.414141414141414e-01,  3.485883914705148e+01
  1.616161616161616e-01,  3.447347412613809e+01
  1.818181818181818e-01,  3.408144707637116e+01
  2.020202020202020e-01,  3.369441753215231e+01
  2.222222222222222e-01,  3.330213889971980e+01
  2.424242424242424e-01,  3.290175648108065e+01
  2.626262626262627e-01,  3.250712878714118e+01
  2.828282828282828e-01,  3.211400432557507e+01
  3.030303030303030e-01,  3.171238222197521e+01
  3.232323232323233e-01,  3.130273675374883e+01
  3.434343434343434e-01,  3.089532876706231e+01
  3.636363636363636e-01,  3.050252994366391e+01
  3.838383838383838e-01,  3.008373934541106e+01
  4.040404040404040e-01,  2.966540851722948e+01
  4.242424242424243e-01,  2.924852394844407e+01
  4.444444444444444e-01,  2.883565931378532e+01
  4.646464646464646e-01,  2.843458989026232e+01
  4.848484848484849e-01,  2.801622857622289e+01
  5.050505050505051e-01,  2.758569421760555e+01
  5.252525252525253e-01,  2.719478087401922e+01
  5.454545454545454e-01,  2.683704646110843e+01
  5.656565656565656e-01,  2.646188933446790e+01
  5.858585858585859e-01,  2.607569600221599e+01
  6.060606060606061e-01,  2.568208011835960e+01
  6.262626262626263e-01,  2.527935228923153e+01
  6.464646464646465e-01,  2.487253328067719e+01
  6.666666666666666e-01,  2.450609409506332e+01
  6.868686868686869e-01,  2.415677974769057e+01
  7.070707070707071e-01,  2.378966253487611e+01
  7.272727272727273e-01,  2.341143427578265e+01
  7.474747474747475e-01,  2.303098793188557e+01
  7.676767676767676e-01,  2.264640395089776e+01
  7.878787878787878e-01,  2.222930815075413e+01
  8.080808080808081e-01,  2.181055566521977e+01
